"ID"	"alti_median"	"alti_min"	"alti_max"	"temp_season_median"	"temp_warmqrt_median"	"temp_coldqrt_median"	"prec_season_median"	"prec_wetqrt_median"	"prec_dryqrt_median"
100	547	429	770	58.64	17.7	2.7	30	208.5	103
1007	318	253	445	57.5	19.9	5.1	14	223	167
1008	331.5	188	413	57.445	19.9	5.2	15	221	164
1009	224	149	339	57.41	20.5	5.7	17	211.5	145
101	884.5	555	1157	57.51	15.85	1.1	28	230.5	115
1010	237.5	136	434	57.325	20.4	5.7	19	215	139.5
1011	144	96	386	57.31	20.9	6.2	21	213	125
1012	141.5	69	430	57.2	21	6.3	21.5	213	122
1013	104.5	52	531	57.235	21.55	6.8	23	208	112
1014	82	41	217	57.17	21.8	7.05	24	208	108.5
1015	44	20	173	57.095	22	7.4	26	206	102
1016	40.5	0	204	56.93	22.1	7.5	27	207	100
1017	40.5	2	181	56.745	22.1	7.5	28	209	99.5
102	1019.5	916	1114	56.97	14.8	0.2	25	246	133
103	918	586	998	58.03	15.5	0.6	26	238	125
104	801.5	507	1063	59.13	16.25	1.05	27	231	121
1048	384.5	277	518	57.4	19.7	5	14	225	169
1049	283	190	512	57.385	20.3	5.6	16	213	153.5
105	618	458	894	60.295	17.5	2	25	220.5	122
1050	214	141	361	57.32	20.7	6	18	210	139
1051	259	136	578	57.15	20.5	5.8	19	215	138
1052	373.5	197	646	56.945	20	5.4	18	222	147
1053	228.5	82	430	57.035	21	6.3	21	215	124
1054	160	63	348	57	21.4	6.8	23	211.5	113.5
1055	138	33	305	56.875	21.7	7.1	25	210	107
1056	17.5	0	269	56.675	22.3	7.8	28	205	95
1057	1	0	96	56.6	22.4	7.8	29	205	95
106	782.5	586	868	59.89	16.5	1.1	22	236	143
107	907.5	716	1039	59.635	15.7	0.4	19	250	167.5
108	1038.5	641	1316	59.035	14.7	-0.45	16	267	194
1089	491	247	728	57.135	19.4	4.8	14	230	177.5
109	523	328	887	62.19	18.1	2.1	17	244	169
1090	362	182	569	57.125	20.1	5.45	16	214	159
1091	573	226	899	56.725	19.1	4.6	15	227.5	177
1092	592	243	815	56.52	19.25	4.7	15.5	228	171.5
1093	393.5	195	666	56.71	20.2	5.7	19	221	144
1094	302	141	607	56.715	20.8	6.3	22	218	127
1095	216	56	447	56.75	21.4	6.9	25	213	112
1096	65.5	0	473	56.48	22.2	7.7	28	207	98
110	368	138	487	63.07	19.1	2.8	17	244	170
111	224.5	138	372	63.85	19.9	3.35	17	243	174
112	346.5	235	477	63.795	19.2	2.7	14	250	191
1128	628.5	415	1079	56.9	18.7	4.15	15	248	184
1129	557.5	315	1042	56.995	19.2	4.65	15	235	182
113	450	337	546	63.75	18.5	2.1	13	258	208
1130	381.5	222	773	57.125	20.1	5.5	15	215	164
1131	527	275	984	56.71	19.35	4.9	15	226.5	176
1132	629	376	887	56.36	19	4.6	15	230	180
1133	477.5	256	751	56.48	20	5.5	18	224	152.5
1134	310.5	143	835	56.525	20.9	6.4	21	216.5	128
1135	336.5	140	673	56.29	20.8	6.4	22	219	127
1136	122.5	0	469	56.24	22	7.6	28	208.5	99.5
1168	1046	789	1718	55.66	16.5	2.5	15	280	199
1169	940	450	1299	55.965	17.4	3.2	15	268	192
1170	698	326	1425	56.355	18.6	4.25	15	247.5	185.5
1171	685	326	1271	56.34	18.8	4.45	15	240.5	186
1172	417.5	227	876	56.69	20.1	5.65	17	217	161
1173	301.5	111	909	56.655	20.95	6.5	20	212	138
1174	177	61	476	56.56	21.7	7.25	24	208	115
1175	139.5	22	543	56.34	22.05	7.6	27	207	102
1176	2.5	0	225	56.145	22.7	8.4	31	201	88
1210	1247	538	1807	54.81	15.8	1.9	15	285	212
1211	997.5	628	1602	55.25	17	3	15	268	200
1212	593.5	204	969	56.305	19.45	5.15	16	228.5	180
1213	313	110	719	56.585	20.95	6.55	20	212	141
1214	153	60	458	56.495	21.9	7.5	24.5	205	115
1215	57	18	235	56.315	22.6	8.2	30	201	95
1216	11	2	50	55.86	22.8	8.5	32	200	88
1249	1650	1413	2273	54	13.5	0.1	13	311	245
1250	1778	1043	2416	53.56	12.7	-0.6	13	320	261
1251	887	372	1670	55.695	17.7	3.6	16	262	190
1252	436	244	1126	56.395	20.2	5.8	17	218.5	169
1253	360.5	129	921	56.425	20.8	6.5	19	213	152
1254	135	70	518	56.205	22.1	7.7	25	203	116
1255	73	22	130	55.94	22.5	8.3	29	200	99.5
1256	17	0	57	55.33	22.7	8.6	31	198	92
1287	2210	1439	2660	53.46	10.6	-2.7	12	358	294
1288	2097	1624	2792	53.49	11.2	-2.1	12	346.5	285.5
1289	1724	1349	2111	53.865	13.25	-0.2	13.5	315	250.5
1290	1273.5	627	1981	54.755	15.85	2.05	16	285	208.5
1291	850	450	1961	55.705	18.3	4.2	17	258	181.5
1292	1253	463	2682	54.205	15.6	2.05	15	280	218.5
1293	774	338	1678	55.395	18.75	4.7	17	244.5	186.5
1294	316.5	134	760	55.9	21.1	6.9	21	214	147
1295	103.5	46	288	55.665	22.3	8.2	27	203	111
1296	39.5	8	540	54.97	22.6	8.6	30	200	98
1328	1367	1144	1816	54.82	15.5	1.7	16	291	206
1329	1820.5	1324	2700	53.695	12.85	-0.5	13.5	318	258
1330	2098	1221	2747	53.22	10.9	-2.2	13	361	283
1331	1863	1033	2425	53.265	12.35	-0.85	14	334.5	265
1332	1701.5	729	2706	53.515	14.1	0.8	14	305.5	242
1333	806.5	251	1607	55.3	18.8	4.85	18	249.5	184.5
1334	524	120	1361	55.27	19.7	5.75	19	234	178.5
1335	340	104	858	55.19	21.2	7.15	22.5	218	144.5
1337	238.5	8	863	53.845	21.45	7.9	27	213	118.5
1372	1028	575	1635	54.765	17.4	3.65	17	266.5	195
1373	805	510	1288	55.08	18.7	4.8	18	253	187
139	882.5	459	1083	56.735	15.9	1.4	26	229	122
140	586	457	805	58.565	17.6	2.6	29	206	104
141	789.5	539	1149	57.81	16.3	1.45	28	221.5	111
142	938.5	801	1150	57.535	15.4	0.65	27	234	121
143	833.5	562	1049	58.385	16.05	1.1	28	226	113.5
144	719.5	520	1056	59.42	16.7	1.45	27	220.5	115
145	816	503	1109	59.34	16.2	1	24	232	134
146	855.5	676	978	59.475	16	0.7	21	240	152
147	966	856	1164	59.17	15.4	0.2	18	253	174.5
148	1030.5	609	1342	59.22	15	-0.2	16	260.5	190
149	672.5	410	1072	61.48	17.3	1.45	16	247	177.5
150	404	148	824	62.85	18.9	2.7	17	247	176
151	223	117	364	63.715	19.9	3.4	17	246	178
152	281	181	422	63.825	19.6	3.1	15	250	189
153	346	234	521	63.8	19.2	2.6	14	256	201
179	981	663	1343	55.92	15	0.8	23	238	136
180	745	498	1133	57.755	16.7	1.9	27	215.5	112
181	829	513	1253	57.725	16.4	1.5	27	218	112
182	967.5	762	1185	57.26	15.35	0.7	25	231	124
183	760	593	936	58.87	16.5	1.4	29	216	107
184	751	595	1014	59.335	16.75	1.5	27	217	114
185	1055	803	1383	57.86	14.7	-0.1	20	250	158.5
186	1045.5	877	1344	58.29	14.9	-0.1	18	251	169
187	1043	892	1185	58.675	14.9	-0.1	17	253.5	180
188	856	515	1175	60.105	16.15	0.7	17	246	176
189	611	280	1057	61.62	17.6	1.8	17	248	176
190	405	170	613	62.76	18.9	2.7	17	248	178
191	146	113	395	63.705	20.4	3.9	18	248	178
192	173.5	111	284	64.085	20.2	3.7	17	250	185
193	194	152	390	64.06	20.1	3.5	16	251	190
194	272.5	179	1087	63.965	19.5	2.9	14	255	198.5
195	695	197	1240	62.49	16.6	0.4	11	275	231.5
220	1035.5	688	1288	56.255	14.9	0.6	23	238	138
221	954.5	591	1121	56.94	15.4	0.9	24	228	126.5
222	1052.5	630	1331	56.72	14.7	0.3	23	238	137.5
223	918.5	646	1187	57.785	15.6	0.8	25	227	125
224	794	618	1093	58.935	16.4	1.3	25	220.5	123
225	1125	770	1377	57.365	14.3	-0.35	18.5	251	167
226	1178	824	1383	57.46	14.2	-0.6	17	258	181
227	976.5	545	1119	59.17	15.6	0.4	18	243.5	171
228	780.5	440	1182	60.435	16.75	1.2	17	244	173
229	633.5	332	861	61.35	17.5	1.7	16	249	180
230	529	330	778	62.125	18.15	2.15	16	253.5	188
231	145.5	104	624	63.73	20.5	4	18	253	181
232	177	140	238	63.88	20.2	3.7	17	253	185
233	327.5	188	1001	63.585	19.3	2.9	15	258.5	197
234	787.5	290	1312	61.865	16.4	0.45	12	274	229
235	1087.5	406	1595	60.695	14.8	-0.9	11	289	243
258	1024	850	1126	55.85	15.2	1	20	236	147
259	1003.5	842	1388	56.06	15.25	1	21	233	143
260	1218	1043	1445	55.105	13.8	-0.2	19	252.5	162.5
261	1086	838	1202	56.155	14.7	0.4	21	238	143.5
262	1002	658	1294	56.86	15.2	0.7	22	229	136
263	1112	834	1287	56.575	14.5	0.1	20	240	151
264	1000	742	1280	57.71	15.4	0.6	21	231	143
265	1217	922	1672	56.615	13.8	-0.6	17	255	178
266	1203	800	1651	57.175	14.15	-0.55	16	256	185
267	809.5	482	1147	59.69	16.6	1.2	18	238	164
268	688	320	1066	60.7	17.2	1.6	17	244	172
269	576.5	253	848	61.565	18	2.1	17	250	181
270	516.5	217	823	62.26	18.4	2.4	16	257	189
271	151	102	440	63.575	20.5	4.05	19	257	178
272	180	137	302	63.73	20.3	3.8	18	257	181
273	649	266	1135	62.14	17.6	1.5	13.5	268	213
274	985	533	1528	60.775	15.45	-0.2	11	280	233.5
275	1191.5	646	1618	60.035	14.2	-1.2	11	294	243
297	1060.5	923	1236	55.435	15	0.95	18	240	159.5
298	1084	998	1256	55.425	14.8	0.8	19	239	156.5
299	1002	876	1113	56.19	15.5	1.2	20	228	145
300	1264.5	959	1441	54.755	13.5	-0.3	18	253.5	169
301	1204	1075	1404	55.26	13.9	-0.1	19	246	161
302	1009.5	742	1238	56.86	15.2	0.7	21	227.5	142.5
303	1073	829	1311	56.825	14.8	0.35	20	234.5	149
304	1167	933	1343	56.51	14.2	-0.2	18	245.5	167
305	1180	878	1341	56.675	14	-0.4	17	250	177
306	1244	656	1442	56.69	13.75	-0.7	15	259	191.5
307	1047.5	699	1398	58.04	14.8	0	15	250	188
308	725	406	1012	60.525	17.3	1.7	17	246	176.5
309	470.5	164	800	62.04	18.9	2.9	18	253	181
310	205.5	86	627	63.215	20.3	3.95	20	260	178
311	118.5	91	242	63.51	20.7	4.3	20	261	173
312	206.5	141	420	63.54	20.1	3.6	18	262	179.5
313	458	267	984	62.745	18.65	2.4	16	264	196
314	599	339	1036	62.42	17.85	1.7	14	267	204
315	646.5	381	1152	62.5	17.6	1.4	13	267	206.5
316	1238.5	628	1949	59.005	13.3	-1.85	11	307	248.5
337	1185	1046	1254	54.87	14.4	0.5	17	248	172
338	1151.5	993	1262	55.195	14.55	0.6	18	244	165
339	1027.5	932	1102	56.04	15.4	1.1	19	229	151
340	1188.5	1007	1436	55.18	14.1	0.2	18	243.5	164
341	1363	1193	1476	54.28	12.9	-0.7	16	260	184
342	1181.5	975	1341	55.545	14.1	0	18	242	163
343	1015.5	904	1226	56.98	15.2	0.7	19	227.5	152
344	1240.5	1000	1462	55.915	13.7	-0.45	16	251	178.5
345	1199.5	538	1436	56.5	13.9	-0.4	16	252	183
346	670	342	1308	59.815	17.4	2.1	19	232	158
347	579	265	1248	60.64	17.9	2.3	18	240	167
348	657.5	287	962	60.605	17.6	2	17	248	178
349	459	194	839	61.89	18.85	2.9	18	256	184
350	196	77	505	63.105	20.4	4.1	21	265	173
351	267	81	573	63.04	19.9	3.6	19	266	179
352	287.5	156	475	63.015	19.7	3.4	19	265	179
353	335.5	197	1030	62.9	19.3	3	17	263	183.5
354	491	256	1363	62.455	18.2	2.1	15	264	193.5
355	663.5	390	1251	61.88	17.3	1.3	14	268	204
356	760	495	1774	62.025	17.1	1	13	268	205
357	1201.5	739	1800	59.9	14.3	-1.1	12	292.5	232
358	1285	999	2045	59.84	14	-1.4	12	299	234
377	1250	1158	1384	54.55	14	0.2	16	254	182
378	1171	908	1374	55.055	14.6	0.6	16	243	170.5
379	1048.5	804	1162	55.985	15.4	1.1	18	228	155
380	1158	968	1395	55.29	14.4	0.4	17	239	165
381	1355.5	1178	1513	54.3	13.1	-0.6	15	257	186
382	1245.5	1149	1388	55.035	13.7	-0.25	16	248	177
383	1221.5	953	1458	55.44	13.8	-0.25	16	247	176
384	1081	678	1360	56.585	14.8	0.4	17	235.5	168
385	1163.5	527	1519	56.33	14.25	-0.1	15	246	183
386	666.5	374	1325	59.88	17.7	2.4	18	235	164
387	348	167	731	61.68	19.7	3.8	20	243	167
388	321	179	682	62	19.8	3.8	20	253	171
389	478	206	757	61.605	18.9	3	19	260	183
390	176	64	500	63.02	20.6	4.3	22	270	168
391	159.5	92	530	63.18	20.6	4.2	21	268	166
392	240	161	665	62.995	20.1	3.8	20	266	170
393	499.5	297	942	62.21	18.5	2.5	17	265	186
394	804.5	466	1489	60.96	16.5	0.85	14	272	207
395	896	479	1514	60.635	16.1	0.45	13	273	211
396	858	518	1441	61.29	16.6	0.75	14	270	205
397	1119	710	1556	60.05	14.9	-0.6	13	283.5	222.5
417	1174	809	1410	54.945	14.6	0.65	16	246	179
418	905.5	609	1354	56.82	16.6	2.15	17	216.5	153.5
419	822	645	1100	57.375	17.1	2.4	18	214	146
420	952	655	1256	56.63	16	1.6	17	221	154.5
421	1038	740	1277	56.11	15.3	1	17	227	160
422	1196.5	918	1460	55.335	14.1	0.1	16	241	174
423	1147	825	1412	55.89	14.6	0.4	16	237	173
424	918	504	1178	57.56	16.1	1.4	17	229.5	162
425	682	378	1170	59.275	17.6	2.4	18	230	160
426	429	170	814	60.93	19.3	3.7	20	237	163
427	223.5	123	472	61.92	20.3	4.4	22	247	160
428	298.5	155	450	62.01	20	4	21	256.5	165
429	254.5	122	510	62.49	20.25	4.1	22	265	164.5
430	86.5	56	321	63.08	21.1	4.8	24	271	157
431	203.5	100	447	62.975	20.45	4.2	22	269	164
432	403.5	193	848	62.225	19.2	3.2	19	266	174
433	594.5	359	1041	61.54	18	2.1	16	266	187
434	878.5	521	1580	60.39	16.4	0.8	14	271	204
435	916	547	1340	60.355	16.05	0.5	14	273	205.5
436	1018	592	1440	59.85	15.3	-0.1	13	278	214
437	1055.5	710	1573	60.04	15.2	-0.25	13	278.5	214
458	731.5	510	943	57.925	17.95	3.1	17	210	148
459	874	612	949	57.12	16.9	2.3	17	217	155
460	962.5	694	1087	56.57	16.1	1.7	16	223	159
461	1146	736	1454	55.4	14.8	0.7	15	235	173.5
462	1366.5	996	1684	54.08	13.1	-0.5	14	254.5	194
463	1193.5	626	1664	55.17	14.05	0.1	15	243.5	184
464	680.5	294	1225	58.735	17.5	2.5	18	227	161
465	393	131	863	60.59	19.5	3.9	20	233	160
466	222	109	441	61.4	20.4	4.6	22	241	153.5
467	169	88	373	61.9	20.8	4.85	23	250	152
468	339	110	656	61.71	19.9	4	22	258	163
469	326	59	414	62.08	19.85	3.9	22	264	164
470	74.5	54	348	62.95	21.3	5.05	24.5	267	149
471	206	83	379	62.77	20.5	4.3	23	267	157
472	253	161	625	62.625	20.1	4	21	263	159
473	603	291	1249	61.285	18	2.25	17	265	181
474	547.5	289	947	61.575	18.35	2.4	17	261	177
475	740.5	412	1274	60.915	17.2	1.5	15	264	190
498	877.5	611	988	57.235	17.15	2.5	16	218	161
499	870.5	481	1055	57.125	17	2.4	16	219	158
500	943	463	1081	56.77	16.35	1.9	16	224	163
501	831	505	1215	57.425	17	2.3	16	222	160
502	1061.5	630	1393	55.96	15.3	1.1	15	234	174.5
503	1211.5	549	1506	55.035	14.1	0.2	14	247	190
504	523.5	297	1464	59.485	18.7	3.4	18	229	163
505	343.5	180	905	60.55	19.8	4.3	21	236	157
506	205.5	114	381	61.23	20.6	4.8	23	244	149
507	221	131	530	61.61	20.5	4.6	23	252	150
508	292	73	414	61.59	20.05	4.2	23	259	156.5
509	165	50	399	62.41	20.8	4.7	24	263	149
510	53	45	280	62.82	21.5	5.2	25	263	142
511	120	72	300	62.78	21.05	4.9	24.5	263	145
512	199	111	400	62.58	20.5	4.4	23	261	150
513	324.5	188	684	62.055	19.6	3.6	21	258	158.5
514	631	278	970	61.055	18.1	2.3	17	261	175
515	654	388	1223	60.855	17.85	2.15	17	258	175
516	849.5	563	1330	60.23	16.6	1.1	15	264	189
517	989	780	1420	59.58	15.8	0.4	15	270	198
538	880	428	1015	57.25	17.3	2.7	16	219	164.5
539	944.5	502	1098	56.62	16.6	2.2	15	224	169
540	1011	922	1174	56.02	16	1.7	15	230	174
541	955.5	561	1191	56.23	16	1.7	15	230.5	173
542	891	534	1250	56.79	16.45	2.05	15	229	172
543	664	346	1194	58.435	17.95	3	17	228	167
544	453.5	231	879	59.53	19.2	3.85	19	232	159.5
545	359.5	152	648	60.25	19.8	4.3	21	240	154
546	173.5	112	433	61.18	20.8	5.1	24	246	142
547	201.5	100	344	61.415	20.6	4.85	24	254	145.5
548	210	66	358	61.775	20.7	4.8	25	259	145
549	116.5	41	332	62.28	21.2	5.1	26	261.5	140.5
550	49	37	170	62.59	21.6	5.4	26	260	136
551	110.5	66	241	62.71	21.2	5	25	259	139
552	148.5	96	379	62.455	20.8	4.7	24	257	140
553	285.5	159	483	61.99	19.9	3.9	22	255	149
554	446.5	255	1090	61.525	19.1	3.25	20	254	158
555	763.5	377	1293	60.035	17.2	1.7	17	261	178.5
556	903.5	620	1316	59.545	16.35	1	16	266	187
557	972	719	1473	59.22	16	0.7	15	267	191
58	584.5	442	854	57.575	17.35	2.6	29	215	108.5
580	1000	676	1315	56.09	16.15	1.9	15	231	178.5
581	1040.5	640	1447	55.56	15.45	1.4	14	237	183.5
582	608	329	1014	58.535	18.55	3.6	17	224	164
583	442.5	194	861	59.155	19.3	4.1	19	228	155.5
584	427.5	197	832	59.47	19.4	4.2	20	236	154
585	219	129	470	60.43	20.7	5.1	24	242	141
586	184	126	330	60.855	20.8	5.2	25	249	139
587	297.5	199	553	60.935	20.2	4.6	24	256	146
588	207.5	81	313	61.5	20.7	4.9	26	260	139
589	107	39	267	62.025	21.4	5.4	27	260	134
59	454	409	652	58.585	18.2	3.1	30	205	101
590	38.5	28	226	62.41	21.7	5.6	27.5	257	128
591	53	27	133	62.56	21.6	5.5	27	254	128.5
592	94.5	54	412	62.375	21.2	5.15	26	251	131
593	323	80	580	61.605	19.8	3.9	22.5	252	145
594	622.5	251	1735	60.3	18.1	2.6	19	257	163
595	1076.5	470	1821	58.29	15.55	0.6	16	273	192
596	849.5	563	1317	59.225	16.6	1.35	17	262	178
60	653	421	957	57.98	16.85	2	30	219.5	107.5
61	930.5	643	1150	57.11	15.25	0.65	27	241	125
619	862	494	944	57.05	17.3	2.8	15	224	173
62	981	723	1096	57.06	14.9	0.3	26	247	132
620	1073	689	1409	55.255	15.5	1.5	14	237.5	188
621	1147	416	1547	54.775	14.7	0.95	14	242.5	194
622	622.5	268	1094	58.05	18.5	3.6	17	227.5	164
623	448.5	188	947	58.805	19.25	4.2	20	233	153.5
624	266	119	451	59.8	20.5	5.1	23	239	140
625	141.5	94	314	60.39	21.1	5.6	26	244	132
626	157	98	296	60.68	21.1	5.5	27	251.5	133
627	234	105	356	60.8	20.6	4.95	26	257	138
628	205.5	84	279	61.23	20.8	5.1	27	260	133.5
629	180.5	59	270	61.475	21	5.2	27	260	132
63	945.5	770	1082	57.74	15.3	0.45	26	243	128.5
630	64	27	241	62.035	21.6	5.6	28	255	125
631	41	20	123	62.165	21.6	5.6	28	250.5	123
632	38.5	26	82	62.105	21.5	5.5	28	245	121
633	121	58	207	61.89	21	5	26	243	125
634	307	177	610	61.215	19.9	4.1	23	244	137
635	767	403	1030	59.26	17.2	2	18	258.5	167
636	854	675	1103	58.905	16.75	1.6	17	260	174
64	874	571	964	58.67	15.8	0.7	26	240	130
65	636	435	876	60.26	17.3	1.8	25	225	127
66	689	428	872	60.27	16.9	1.3	23	236	140
660	796	383	1385	57.2	17.9	3.3	16	224	172
661	523	237	1258	58.065	19	4.1	18	224	156.5
662	403.5	157	734	58.85	19.9	4.8	21	227	145
663	361	152	911	58.97	19.8	4.7	22	235	144
664	175.5	86	404	59.655	21	5.6	26	241	131
665	116.5	86	209	60.02	21.2	5.8	27	247	128
666	112.5	66	217	60.53	21.4	5.8	28	253	126.5
667	99	43	211	60.835	21.5	5.9	30	258	124
668	109	33	207	61.2	21.4	5.7	30	260	124
669	142	20	270	61.37	21.2	5.5	29	258	125
670	99	18	264	61.445	21.4	5.6	29	253	120.5
671	23	11	129	61.635	21.7	5.8	29	246	116
672	39.5	24	115	61.57	21.6	5.7	29	241	115.5
673	131.5	48	496	61.39	21	5.2	27	240	120
674	494.5	171	728	60.025	18.8	3.3	22	248.5	144
675	565.5	223	982	59.81	18.35	3.05	20.5	249	148
676	922	281	1211	58.455	16.6	1.65	18	260.5	169
699	742	637	827	57.27	18.2	3.6	16	225	169
70	368	137	679	63.05	19	2.8	17	243	168
700	696	378	814	57.52	18.4	3.7	17	225	164
701	569.5	199	791	57.85	18.95	4.1	18.5	226	155
702	227	115	807	58.895	20.65	5.5	24	230	133
703	257	158	522	58.915	20.5	5.35	24	238	134
704	153	69	439	59.255	21	5.8	27	244	128
705	109.5	40	273	59.635	21.3	5.9	29	249	125
706	141	68	272	60.05	21.2	5.8	29	255	124
707	146.5	56	200	60.455	21.2	5.8	30	259	123
708	121.5	46	212	60.69	21.4	5.9	31	259	120
709	43.5	7	142	61.14	21.8	6.1	31	253	114
710	36	9	159	61.235	21.7	5.9	31	248	113
711	23	14	100	61.32	21.7	5.9	30	242	110
712	51	32	122	61.24	21.4	5.7	30	237	109
713	75	56	263	61.11	21.25	5.5	29	233	110
714	191	98	468	60.745	20.6	4.9	27	232	116
715	235.5	150	538	60.64	20.4	4.8	25	232	119.5
716	412	232	682	59.825	19.4	4.05	23	237	131
717	484	305	657	59.4	18.9	3.6	22	239	138
72	246	207	419	64.11	19.7	3.1	15	244	181
738	685.5	474	842	57.48	18.7	4	17	225	163
739	695	241	840	57.39	18.5	3.9	17	226	164
740	656	394	776	57.33	18.6	4	18	227	158
741	527.5	206	805	57.765	19.25	4.5	20	228	148
742	227	96	426	58.52	20.6	5.6	25	233	131
