	SURF	LATI	DSOUR	DFOR	DGRASS	DPLEIS	NSPEC
NUncompa	359.10	38.93	2.8	2.8	0.0	0.0	6
Lasals	435.23	38.72	9.5	9.5	0.0	0.0	13
Abajos	958.57	38.09	32.6	53.9	0.0	0.0	10
SKaibab	274.27	36.08	95.7	61.2	58.7	0.0	4
Chuskas	1507.90	36.60	87.4	158.0	0.0	0.0	11
Mogollon	11134.33	35.52	44.7	185.6	0.0	0.0	16
Zunis	625.63	35.42	72.5	123.4	0.0	0.0	7
MtTaylor	465.30	35.55	29.9	52.1	0.0	0.0	8
Sandias	43.85	35.28	34.0	19.5	15.1	0.0	10
Manzanos	141.13	35.05	59.3	37.7	15.1	0.0	8
Capitans	84.80	33.65	143.0	183.9	15.1	0.0	6
Sacramen	1349.80	33.56	151.2	211.3	15.1	0.0	10
Guadalup	25.71	32.05	267.2	334.6	18.3	0.0	3
Organs	8.57	32.35	180.1	251.2	44.6	0.0	1
Magdalen	106.80	34.09	80.9	111.6	4.8	0.0	6
SanMateo	366.23	33.96	65.6	96.1	5.3	0.0	7
Blacks	872.96	33.62	60.7	75.5	4.1	0.0	8
Animas	10.58	31.60	196.7	116.1	74.0	39.9	1
Chiricah	68.13	31.98	185.4	120.9	76.9	56.4	2
Huachuca	12.70	31.46	245.1	146.8	123.4	128.7	1
SantaRit	11.90	31.72	238.8	183.7	128.5	115.4	1
NRincon	10.08	32.23	195.1	191.1	139.7	84.0	1
Catalina	29.80	32.47	190.3	201.6	144.7	71.1	2
Pinaleno	87.09	32.79	137.4	183.5	91.3	22.5	4
Prescott	115.80	34.59	146.0	91.0	8.0	0.0	2
Hualapai	18.25	35.15	193.2	203.5	10.3	16.2	2
Navajo	6.89	37.05	139.5	218.5	22.6	0.0	4
