"point"	"Date_nuit"	"julian_date"	"Mois"	"Heure"	"Minute"	"heure.rel"	"Espece_validee"	"NbCris"
"ID1"	"02/10/2014"	275	10	19	59	-4.02	"Pippip"	38
"ID1"	"02/10/2014"	275	10	20	38	-3.37	"Pippip"	38
"ID1"	"02/10/2014"	275	10	20	45	-3.25	"Rhihip"	15
"ID1"	"02/10/2014"	275	10	20	49	-3.18	"Pippip"	6
"ID1"	"02/10/2014"	275	10	20	49	-3.18	"Pippip"	1
"ID1"	"02/10/2014"	275	10	21	0	-3	"Pippip"	5
"ID1"	"02/10/2014"	275	10	21	4	-2.93	"Pippip"	1
"ID1"	"02/10/2014"	275	10	21	13	-2.78	"Pippip"	1
"ID1"	"02/10/2014"	275	10	21	41	-2.32	"Pippip"	25
"ID1"	"02/10/2014"	275	10	21	48	-2.2	"Pippip"	32
"ID1"	"02/10/2014"	275	10	21	48	-2.2	"Pippip"	45
"ID1"	"02/10/2014"	275	10	21	48	-2.2	"Pippip"	2
"ID1"	"02/10/2014"	275	10	21	49	-2.18	"Myosp"	4
"ID1"	"02/10/2014"	275	10	21	54	-2.1	"Pippip"	4
"ID1"	"02/10/2014"	275	10	21	54	-2.1	"Pippip"	32
"ID1"	"02/10/2014"	275	10	21	54	-2.1	"Pippip"	21
"ID1"	"02/10/2014"	275	10	22	6	-1.9	"Pippip"	1
"ID1"	"02/10/2014"	275	10	22	17	-1.72	"Pippip"	7
"ID1"	"02/10/2014"	275	10	22	18	-1.7	"Pippip"	13
"ID1"	"02/10/2014"	275	10	22	18	-1.7	"Pippip"	16
"ID1"	"02/10/2014"	275	10	22	18	-1.7	"Pippip"	6
"ID1"	"02/10/2014"	275	10	22	19	-1.68	"Pippip"	2
"ID1"	"02/10/2014"	275	10	22	19	-1.68	"Pippip"	1
"ID1"	"02/10/2014"	275	10	22	36	-1.4	"Pippip"	5
"ID1"	"02/10/2014"	275	10	22	51	-1.15	"Pippip"	2
"ID1"	"02/10/2014"	275	10	22	54	-1.1	"Pippip"	11
"ID1"	"02/10/2014"	275	10	23	8	-0.870000000000001	"Pippyg"	6
"ID1"	"02/10/2014"	275	10	23	10	-0.829999999999998	"Pippip"	6
"ID1"	"02/10/2014"	275	10	23	10	-0.829999999999998	"Pippip"	8
"ID1"	"02/10/2014"	275	10	23	12	-0.800000000000001	"Pippip"	15
"ID1"	"02/10/2014"	275	10	23	12	-0.800000000000001	"Pippip"	7
"ID1"	"02/10/2014"	275	10	23	12	-0.800000000000001	"Pippip"	4
"ID1"	"02/10/2014"	275	10	23	12	-0.800000000000001	"Pippip"	15
"ID1"	"02/10/2014"	275	10	23	13	-0.780000000000001	"Pippip"	14
"ID1"	"02/10/2014"	275	10	23	13	-0.780000000000001	"Pippip"	31
"ID1"	"02/10/2014"	275	10	23	13	-0.780000000000001	"Pippip"	24
"ID1"	"02/10/2014"	275	10	23	13	-0.780000000000001	"Pippip"	6
"ID1"	"02/10/2014"	275	10	23	13	-0.780000000000001	"Pippip"	2
"ID1"	"02/10/2014"	275	10	23	14	-0.77	"Pippip"	10
"ID1"	"02/10/2014"	275	10	23	15	-0.75	"Pippip"	3
"ID1"	"02/10/2014"	275	10	23	15	-0.75	"Pippip"	7
"ID1"	"02/10/2014"	275	10	23	18	-0.699999999999999	"Pippip"	8
"ID1"	"02/10/2014"	275	10	23	18	-0.699999999999999	"Pippip"	4
"ID1"	"02/10/2014"	275	10	23	20	-0.670000000000002	"Pippip"	5
"ID1"	"02/10/2014"	275	10	23	20	-0.670000000000002	"Pippip"	19
"ID1"	"02/10/2014"	275	10	23	20	-0.670000000000002	"Pippip"	22
"ID1"	"02/10/2014"	275	10	23	20	-0.670000000000002	"Pippip"	10
"ID1"	"02/10/2014"	275	10	23	21	-0.649999999999999	"Pippip"	2
"ID1"	"02/10/2014"	275	10	23	21	-0.649999999999999	"Pippip"	6
"ID1"	"02/10/2014"	275	10	23	24	-0.600000000000001	"Pippip"	7
"ID1"	"02/10/2014"	275	10	23	24	-0.600000000000001	"Pippip"	5
"ID1"	"02/10/2014"	275	10	23	24	-0.600000000000001	"Pippip"	3
"ID1"	"02/10/2014"	275	10	23	27	-0.550000000000001	"Pippip"	5
"ID1"	"02/10/2014"	275	10	23	27	-0.550000000000001	"Pippip"	8
"ID1"	"02/10/2014"	275	10	23	32	-0.469999999999999	"Pippip"	4
"ID1"	"02/10/2014"	275	10	23	35	-0.420000000000002	"Pippip"	3
"ID1"	"02/10/2014"	275	10	23	40	-0.329999999999998	"Pippip"	13
"ID1"	"02/10/2014"	275	10	23	41	-0.32	"Pippip"	4
"ID1"	"02/10/2014"	275	10	23	43	-0.280000000000001	"Pippip"	7
"ID1"	"02/10/2014"	275	10	23	46	-0.23	"Pippip"	6
"ID1"	"02/10/2014"	275	10	23	47	-0.219999999999999	"Pippip"	11
"ID1"	"02/10/2014"	275	10	23	49	-0.18	"Pippip"	8
"ID1"	"02/10/2014"	275	10	23	50	-0.170000000000002	"Pippip"	4
"ID1"	"02/10/2014"	275	10	23	53	-0.120000000000001	"Pippip"	5
"ID1"	"02/10/2014"	275	10	23	55	-0.0799999999999983	"Pippip"	3
"ID1"	"02/10/2014"	275	10	23	55	-0.0799999999999983	"Pippip"	11
"ID1"	"02/10/2014"	275	10	0	1	0.02	"Pippip"	4
"ID1"	"02/10/2014"	275	10	0	3	0.05	"Pippip"	3
"ID1"	"02/10/2014"	275	10	0	3	0.05	"Pippip"	16
"ID1"	"02/10/2014"	275	10	0	6	0.1	"Pippip"	9
"ID1"	"02/10/2014"	275	10	0	6	0.1	"Pippip"	8
"ID1"	"02/10/2014"	275	10	0	7	0.12	"Pippip"	8
"ID1"	"02/10/2014"	275	10	0	7	0.12	"Pippip"	3
"ID1"	"02/10/2014"	275	10	0	7	0.12	"Pippip"	2
"ID1"	"02/10/2014"	275	10	0	7	0.12	"Pippip"	10
"ID1"	"02/10/2014"	275	10	0	7	0.12	"Pippip"	10
"ID1"	"02/10/2014"	275	10	0	8	0.13	"Pippip"	5
"ID1"	"02/10/2014"	275	10	0	10	0.17	"Pippip"	5
"ID1"	"02/10/2014"	275	10	0	15	0.25	"Pippip"	9
"ID1"	"02/10/2014"	275	10	0	15	0.25	"Pippip"	5
"ID1"	"02/10/2014"	275	10	0	25	0.42	"Pippip"	6
"ID1"	"02/10/2014"	275	10	0	26	0.43	"Pippip"	14
"ID1"	"02/10/2014"	275	10	0	27	0.45	"Pippip"	3
"ID1"	"02/10/2014"	275	10	0	30	0.5	"Pippip"	6
"ID1"	"02/10/2014"	275	10	0	35	0.58	"Pippip"	9
"ID1"	"02/10/2014"	275	10	0	35	0.58	"Pippip"	31
"ID1"	"02/10/2014"	275	10	0	47	0.78	"Pippip"	3
"ID1"	"02/10/2014"	275	10	0	47	0.78	"Pippip"	5
"ID1"	"02/10/2014"	275	10	0	47	0.78	"Pippip"	14
"ID1"	"02/10/2014"	275	10	0	48	0.8	"Pippip"	8
"ID1"	"02/10/2014"	275	10	0	48	0.8	"Pippip"	8
"ID1"	"02/10/2014"	275	10	0	48	0.8	"Pippip"	14
"ID1"	"02/10/2014"	275	10	0	48	0.8	"Pippip"	17
"ID1"	"02/10/2014"	275	10	0	48	0.8	"Pippip"	6
"ID1"	"02/10/2014"	275	10	0	49	0.82	"Pippip"	10
"ID1"	"02/10/2014"	275	10	0	49	0.82	"Pippip"	12
"ID1"	"02/10/2014"	275	10	0	49	0.82	"Pippip"	27
"ID1"	"02/10/2014"	275	10	0	50	0.83	"Pippip"	11
"ID1"	"02/10/2014"	275	10	0	52	0.87	"Pippip"	8
"ID1"	"02/10/2014"	275	10	0	52	0.87	"Pippip"	13
"ID1"	"02/10/2014"	275	10	0	58	0.97	"Pippip"	6
"ID1"	"02/10/2014"	275	10	0	58	0.97	"Pippip"	12
"ID1"	"02/10/2014"	275	10	0	59	0.98	"Pippip"	25
"ID1"	"02/10/2014"	275	10	1	2	1.03	"Myosp"	23
"ID1"	"02/10/2014"	275	10	1	17	1.28	"Pippip"	14
"ID1"	"02/10/2014"	275	10	1	17	1.28	"Pippip"	27
"ID1"	"02/10/2014"	275	10	1	17	1.28	"Pippip"	3
"ID1"	"02/10/2014"	275	10	2	7	2.12	"Pippip"	12
"ID1"	"02/10/2014"	275	10	2	7	2.12	"Pippip"	28
"ID1"	"02/10/2014"	275	10	2	15	2.25	"Pippip"	9
"ID1"	"02/10/2014"	275	10	2	15	2.25	"Pippip"	37
"ID1"	"02/10/2014"	275	10	2	37	2.62	"Pippip"	14
"ID1"	"02/10/2014"	275	10	2	41	2.68	"Pippip"	7
"ID1"	"02/10/2014"	275	10	2	42	2.7	"Pippip"	17
"ID1"	"02/10/2014"	275	10	2	42	2.7	"Pippip"	8
"ID1"	"02/10/2014"	275	10	2	42	2.7	"Pippip"	13
"ID1"	"02/10/2014"	275	10	2	45	2.75	"Pippip"	3
"ID1"	"02/10/2014"	275	10	3	18	3.3	"Pippip"	6
"ID1"	"02/10/2014"	275	10	3	19	3.32	"Pippip"	7
"ID1"	"02/10/2014"	275	10	3	19	3.32	"Pippip"	3
"ID1"	"02/10/2014"	275	10	3	19	3.32	"Pippip"	5
"ID1"	"02/10/2014"	275	10	3	19	3.32	"Pippip"	3
"ID1"	"02/10/2014"	275	10	3	19	3.32	"Pippip"	7
"ID1"	"02/10/2014"	275	10	3	20	3.33	"Pippip"	4
"ID1"	"02/10/2014"	275	10	3	21	3.35	"Pippip"	1
"ID1"	"02/10/2014"	275	10	3	26	3.43	"Pippip"	9
"ID1"	"02/10/2014"	275	10	3	33	3.55	"Pippip"	4
"ID1"	"02/10/2014"	275	10	3	35	3.58	"Pippip"	6
"ID1"	"02/10/2014"	275	10	3	35	3.58	"Pippip"	23
"ID1"	"02/10/2014"	275	10	4	4	4.07	"Pippip"	3
"ID1"	"02/10/2014"	275	10	4	4	4.07	"Pippip"	2
"ID1"	"02/10/2014"	275	10	4	4	4.07	"Pippip"	10
"ID1"	"02/10/2014"	275	10	4	4	4.07	"Pippip"	1
"ID1"	"02/10/2014"	275	10	4	11	4.18	"Pippip"	2
"ID1"	"02/10/2014"	275	10	4	21	4.35	"Minsch"	5
"ID1"	"02/10/2014"	275	10	4	29	4.48	"Pippip"	1
"ID1"	"02/10/2014"	275	10	4	37	4.62	"Pippip"	37
"ID1"	"02/10/2014"	275	10	4	37	4.62	"Pippip"	4
"ID1"	"02/10/2014"	275	10	5	13	5.22	"Myosp"	1
"ID1"	"02/10/2014"	275	10	5	43	5.72	"Barbar"	1
"ID1"	"02/10/2014"	275	10	6	21	6.35	"Pippip"	35
"ID1"	"02/10/2014"	275	10	6	21	6.35	"Pippip"	9
"ID1"	"02/10/2014"	275	10	6	45	6.75	"Pippip"	1
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	6
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	43
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	5
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	14
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	10
"ID1"	"02/10/2014"	275	10	6	55	6.92	"Pippip"	7
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	16
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	20
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	8
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	10
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	30
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	32
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	5
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	13
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	1
"ID1"	"02/10/2014"	275	10	6	56	6.93	"Pippip"	4
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	1
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	8
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	16
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	5
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	6
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	1
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	2
"ID1"	"02/10/2014"	275	10	6	57	6.95	"Pippip"	24
"ID1"	"02/10/2014"	275	10	6	58	6.97	"Pippip"	16
"ID1"	"02/10/2014"	275	10	6	58	6.97	"Pippip"	2
"ID1"	"02/10/2014"	275	10	6	58	6.97	"Pippip"	40
"ID1"	"02/10/2014"	275	10	6	58	6.97	"Pippip"	31
"ID1"	"02/10/2014"	275	10	6	58	6.97	"Pippip"	1
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	4
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	18
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	28
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	2
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	7
"ID1"	"02/10/2014"	275	10	7	0	7	"Pippip"	5
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	6
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	12
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	26
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	5
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	30
"ID1"	"02/10/2014"	275	10	7	2	7.03	"Pippip"	43
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	29
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	29
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	23
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	36
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	9
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	15
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	2
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	45
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	10
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	23
"ID1"	"02/10/2014"	275	10	7	3	7.05	"Pippip"	36
"ID1"	"03/10/2014"	276	10	20	14	-3.77	"Pipkuh"	4
"ID1"	"03/10/2014"	276	10	20	16	-3.73	"Pippip"	21
"ID1"	"03/10/2014"	276	10	20	16	-3.73	"Pippip"	6
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	17
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	9
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	13
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	10
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	8
"ID1"	"03/10/2014"	276	10	20	20	-3.67	"Pippip"	23
"ID1"	"03/10/2014"	276	10	20	21	-3.65	"Pipkuh"	8
"ID1"	"03/10/2014"	276	10	20	22	-3.63	"Pipkuh"	26
"ID1"	"03/10/2014"	276	10	20	22	-3.63	"Pipkuh"	2
"ID1"	"03/10/2014"	276	10	20	23	-3.62	"Pipkuh"	4
"ID1"	"03/10/2014"	276	10	20	23	-3.62	"Pipkuh"	37
"ID1"	"03/10/2014"	276	10	20	23	-3.62	"Pipkuh"	2
"ID1"	"03/10/2014"	276	10	20	24	-3.6	"Pippip"	11
"ID1"	"03/10/2014"	276	10	20	24	-3.6	"Pippip"	17
"ID1"	"03/10/2014"	276	10	20	24	-3.6	"Pippip"	10
"ID1"	"03/10/2014"	276	10	20	26	-3.57	"Pippip"	3
"ID1"	"03/10/2014"	276	10	20	26	-3.57	"Pippip"	68
"ID1"	"03/10/2014"	276	10	20	29	-3.52	"Pippip"	10
"ID1"	"03/10/2014"	276	10	20	29	-3.52	"Pippip"	2
"ID1"	"03/10/2014"	276	10	20	30	-3.5	"Pippip"	5
"ID1"	"03/10/2014"	276	10	20	33	-3.45	"Pippip"	12
"ID1"	"03/10/2014"	276	10	20	39	-3.35	"Pippip"	12
"ID1"	"03/10/2014"	276	10	20	39	-3.35	"Pippip"	21
"ID1"	"03/10/2014"	276	10	20	40	-3.33	"Pippip"	1
"ID1"	"03/10/2014"	276	10	20	40	-3.33	"Pippip"	10
"ID1"	"03/10/2014"	276	10	20	40	-3.33	"Pippip"	21
"ID1"	"03/10/2014"	276	10	20	43	-3.28	"Pippip"	15
"ID1"	"03/10/2014"	276	10	20	43	-3.28	"Pippip"	15
"ID1"	"03/10/2014"	276	10	20	44	-3.27	"Pippip"	2
"ID1"	"03/10/2014"	276	10	20	44	-3.27	"Pippip"	22
"ID1"	"03/10/2014"	276	10	20	44	-3.27	"Pippip"	12
"ID1"	"03/10/2014"	276	10	20	44	-3.27	"Pippip"	4
"ID1"	"03/10/2014"	276	10	20	46	-3.23	"Pippip"	7
"ID1"	"03/10/2014"	276	10	20	46	-3.23	"Pippip"	1
"ID1"	"03/10/2014"	276	10	20	46	-3.23	"Pippip"	2
"ID1"	"03/10/2014"	276	10	20	47	-3.22	"Pipkuh"	25
"ID1"	"03/10/2014"	276	10	20	47	-3.22	"Pipkuh"	23
"ID1"	"03/10/2014"	276	10	20	48	-3.2	"Pippip"	4
"ID1"	"03/10/2014"	276	10	20	50	-3.17	"Pippip"	17
"ID1"	"03/10/2014"	276	10	20	52	-3.13	"Pippip"	1
"ID1"	"03/10/2014"	276	10	20	52	-3.13	"Pippip"	12
"ID1"	"03/10/2014"	276	10	20	53	-3.12	"Pippip"	6
"ID1"	"03/10/2014"	276	10	21	3	-2.95	"Pipkuh"	8
"ID1"	"03/10/2014"	276	10	21	3	-2.95	"Pipkuh"	3
"ID1"	"03/10/2014"	276	10	21	4	-2.93	"Pippip"	2
"ID1"	"03/10/2014"	276	10	21	5	-2.92	"Pippip"	2
"ID1"	"03/10/2014"	276	10	21	6	-2.9	"Pippip"	2
"ID1"	"03/10/2014"	276	10	21	10	-2.83	"Pippip"	7
"ID1"	"03/10/2014"	276	10	21	10	-2.83	"Pippip"	8
"ID1"	"03/10/2014"	276	10	21	11	-2.82	"Pippip"	6
"ID1"	"03/10/2014"	276	10	21	11	-2.82	"Pippip"	5
"ID1"	"03/10/2014"	276	10	21	12	-2.8	"Pippip"	14
"ID1"	"03/10/2014"	276	10	21	13	-2.78	"Pippip"	4
"ID1"	"03/10/2014"	276	10	21	15	-2.75	"Pippip"	15
"ID1"	"03/10/2014"	276	10	21	15	-2.75	"Pippip"	10
"ID1"	"03/10/2014"	276	10	21	30	-2.5	"Pippip"	2
"ID1"	"03/10/2014"	276	10	21	51	-2.15	"Pippip"	15
"ID1"	"03/10/2014"	276	10	21	53	-2.12	"Pippip"	9
"ID1"	"03/10/2014"	276	10	21	53	-2.12	"Pippip"	13
"ID1"	"03/10/2014"	276	10	22	8	-1.87	"Pippip"	3
"ID1"	"03/10/2014"	276	10	22	8	-1.87	"Pippip"	36
