	ALYOBS	BUFBUF	BUFCAL	DISPIC	HYLMER	LISHEL	PELCUL	PELPUN	PELOPH	RANDAL	RANTEM	SALSAL	TRIMAR
La_Boissière_1	0	0	0	0	0	22288	0	0	0	0	0	0	6976
La_Boissière_2	0	0	0	0	44193	5352	0	0	5015	0	0	0	1363
La_Fertalière	0	0	0	0	7932	13524	1731	2466	5510	0	0	0	15
Murles_Caravette	0	22902	0	0	41650	7247	0	6289	6009	0	0	0	0
Viol_le_Fort	0	0	0	0	4069	87	0	0	62943	0	0	0	24
Les_Martelettes	0	88442	0	0	0	266	0	0	5206	0	0	0	0
Mas_Château_bas	0	112	0	0	5339	3146	0	17931	367123	0	0	0	0
Mas_Lamouroux	0	140842	0	0	350	1646	0	0	0	0	0	0	0
Les_Roussières	0	0	19992	0	49668	6354	0	556	22343	0	0	0	81
Cazevieille_1	0	33	0	0	0	46	0	0	64198	0	0	0	0
Cazevieille_2	0	230	71935	0	50062	333	0	12955	52230	0	0	0	29
Praxt	0	83933	0	0	0	42	0	0	14144	0	0	0	0
Seuilles	0	28034	64374	0	11300	23125	0	1559	11099	0	0	0	6265
Petit_Saint_Jean_mare_3	0	0	0	0	202	0	2272	0	32396	0	0	0	0
Petit_Saint_Jean_mare_4c	0	0	0	0	53	0	232	0	345	0	0	0	0
Petit_Saint_Jean_mare_5	0	0	0	0	31163	0	20029	0	0	0	0	0	0
Petit_Saint_Jean_mare_5c	0	0	0	0	3995	0	171786	0	320	0	0	0	0
Clapiers_1	0	79420	255	226	19723	25974	0	281	1968	0	0	0	0
Clapiers_2	0	0	25185	0	32	0	0	0	1611	0	0	0	0
Mas_Alhen_1	0	13686	0	0	92185	12284	0	0	3108	0	0	0	7536
Mas_Alhen_2	0	0	0	0	29159	3889	0	0	483	0	0	0	1313
Lavogne_de_la_Clapisse	14301	48633	0	0	1596	190	0	7314	1561	0	0	0	0
Lavogne_de_la_Loule	0	0	0	0	73398	12114	0	0	0	0	0	0	0
Mare_de_Pataris	0	0	0	0	114	541	31560	0	0	0	0	0	49
Mare_de_la_Terrasse	0	0	0	0	67169	2176	14792	0	0	0	0	0	2269
Argelliers_1	0	0	0	0	137235	212	0	106	45275	0	0	0	0
Argelliers_2	0	0	0	0	66975	692	0	0	2263	0	0	0	418
Argelliers_3	0	0	0	0	20379	2397	0	3942	57501	0	0	0	203
La_Copé	0	26988	0	0	0	7837	0	0	7787	8745	0	0	0
Etang	0	44	0	0	0	750	0	0	1621	13	0	0	0
Chez_Lavaud	0	0	0	0	0	104401	0	0	236	0	0	0	487
Lagemichêne	0	115803	0	0	0	15	0	0	0	0	0	0	0
Ruisseau_des_Rochettes	0	1002	0	0	0	141	0	0	0	14956	0	237	0
Echaladerie	0	41462	0	0	0	25	0	0	0	1586	0	0	0
Le_Cluzeau	0	0	0	0	0	1722	0	0	0	2420	0	21	30
La_Mine	0	0	0	0	0	8244	0	0	0	10	404	139676	0
Le_Déjai	0	62180	0	0	0	1814	0	0	2957	45516	0	441	4996
