"";"temps_bouee";"stimulus";"lieu"
"1";13;"KRILL";"Madagascar"
"2";7;"CLAY";"Madagascar"
"3";1;"CLAY";"Madagascar"
"4";0;"KRILL";"Madagascar"
"5";7;"CLAY";"Madagascar"
"6";10;"KRILL";"Madagascar"
"7";10;"CLAY";"Madagascar"
"8";12;"DMS";"Iceland"
"9";1;"CTL";"Iceland"
"10";13;"KRILL";"Madagascar"
"11";7;"KRILL";"Madagascar"
"12";19;"KRILL";"Madagascar"
"13";4;"CTL";"Iceland"
"14";4;"CLAY";"Madagascar"
"15";4;"CTL";"Madagascar"
"16";7;"CTL";"Madagascar"
"17";7;"CTL";"Madagascar"
"18";4;"DMS";"Madagascar"
"19";7;"DMS";"Madagascar"
"20";16;"KRILL";"Madagascar"
"21";13;"KRILL";"Madagascar"
"22";6;"KRILL";"Antarctica"
"23";7;"CTL";"Madagascar"
"24";10;"KRILL";"Antarctica"
"25";0;"KRILL";"Antarctica"
"26";7;"KRILL";"Antarctica"
"27";4;"DMS";"Madagascar"
"28";22;"CLAY";"Antarctica"
"29";4;"DMS";"Madagascar"
"30";10;"DMS";"Madagascar"
"31";4;"DMS";"Madagascar"
"32";10;"DMS";"Madagascar"
"33";13;"CTL";"Madagascar"
"34";0;"DMS";"Iceland"
"35";9;"KRILL";"Iceland"
"36";21;"KRILL";"Iceland"
"37";21;"KRILL";"Iceland"
"38";21;"KRILL";"Iceland"
"39";10;"CLAY";"Antarctica"
"40";0;"CTL";"Iceland"
"41";0;"DMS";"Iceland"
"42";6;"CTL";"Iceland"
"43";4;"CTL";"Madagascar"
"44";16;"KRILL";"Antarctica"
"45";1;"CLAY";"Antarctica"
"46";0;"CTL";"Iceland"
"47";0;"DMS";"Iceland"
"48";0;"CTL";"Iceland"
"49";0;"CTL";"Iceland"
"50";21;"KRILL";"Iceland"
"51";1;"KRILL";"Madagascar"
"52";9;"KRILL";"Antarctica"
"53";12;"KRILL";"Iceland"
"54";9;"KRILL";"Iceland"
"55";0;"CLAY";"Iceland"
"56";21;"KRILL";"Iceland"
"57";0;"CLAY";"Iceland"
"58";12;"CLAY";"Iceland"
"59";0;"CLAY";"Iceland"
"60";0;"CLAY";"Iceland"
"61";3;"DMS";"Iceland"
"62";0;"CTL";"Iceland"
"63";0;"DMS";"Iceland"
"64";3;"CLAY";"Antarctica"
"65";0;"KRILL";"Iceland"
"66";0;"DMS";"Madagascar"
"67";0;"CTL";"Iceland"
"68";0;"CTL";"Iceland"
"69";0;"CTL";"Iceland"
"70";0;"KRILL";"Antarctica"
"71";15;"KRILL";"Iceland"
"72";15;"KRILL";"Iceland"
"73";3;"CTL";"Iceland"
"74";3;"DMS";"Iceland"
"75";0;"DMS";"Madagascar"
"76";0;"DMS";"Iceland"
"77";0;"DMS";"Iceland"
"78";0;"DMS";"Iceland"
"79";0;"CTL";"Iceland"
"80";12;"KRILL";"Iceland"
"81";9;"KRILL";"Madagascar"
"82";0;"KRILL";"Antarctica"
"83";0;"CLAY";"Iceland"
"84";9;"CTL";"Iceland"
"85";18;"DMS";"Madagascar"
"86";0;"CLAY";"Iceland"
"87";0;"DMS";"Madagascar"
"88";3;"DMS";"Madagascar"
"89";0;"CLAY";"Madagascar"
"90";0;"CLAY";"Madagascar"
"91";0;"CTL";"Iceland"
"92";0;"DMS";"Madagascar"
"93";9;"KRILL";"Madagascar"
"94";18;"DMS";"Madagascar"
"95";0;"KRILL";"Antarctica"
"96";0;"CLAY";"Iceland"
"97";0;"CTL";"Iceland"
"98";0;"DMS";"Iceland"
"99";0;"CTL";"Iceland"
"100";0;"DMS";"Iceland"
"101";0;"DMS";"Iceland"
"102";0;"DMS";"Iceland"
"103";0;"DMS";"Madagascar"
"104";19;"KRILL";"Madagascar"
"105";0;"CTL";"Iceland"
"106";0;"CTL";"Iceland"
"107";0;"DMS";"Iceland"
"108";0;"CTL";"Iceland"
"109";0;"KRILL";"Antarctica"
"110";0;"KRILL";"Iceland"
"111";0;"KRILL";"Antarctica"
"112";0;"KRILL";"Iceland"
"113";0;"CLAY";"Madagascar"
