"site"	"nbpins"	"nbattaq"	"region"	"prop_foret"	"prop_pin"
"P1"	195	9	"C"	99.9999999998323	26.5500073120029
"P2"	25	3	"C"	99.9999999997422	18.4973366900238
"P3"	250	1	"C"	99.9999999994183	9.30406045764969
"P4"	55	6	"B"	98.4676891200207	13.6400097058739
"P5"	63	12	"G"	99.9999999999825	0.233817420294078
"P6"	170	21	"G"	99.9999999994652	0.518689061019926
"P7"	500	20	"B"	99.999999999883	0.679747139649797
"P8"	350	10	"G"	99.6292788964925	6.3535175559145
"P9"	565	1	"H"	94.5003996631555	25.0028165321205
"P10"	198	8	"J"	99.9999999998377	9.27377542778368
"P11"	44	1	"H"	99.9999999998882	50.2509634034202
"P12"	333	0	"H"	58.8877824233208	8.77823956799822
"P13"	266	0	"H"	85.5690936205932	90.1560301823604
"P14"	280	1	"H"	95.7432978294768	46.2417177238507
"P15"	812	0	"H"	92.5117385464438	54.7467745929247
"P16"	480	0	"H"	67.7154859001242	29.2778696402559
"P17"	127	1	"J"	88.1380693905676	52.0340178017148
"P18"	185	21	"J"	77.594403947068	0
"P19"	200	4	"I"	99.9999999998864	2.74059138525896
"P20"	104	10	"I"	96.8951974486289	1.93475033840464
"P21"	253	23	"I"	93.2605833156671	0.318575165299156
"P22"	200	60	"I"	94.0863665783166	2.12248210395017
"P23"	171	12	"I"	95.0784724570378	0.323166749229638
"P24"	384	11	"I"	88.0131773567716	8.12948619956046
"P25"	224	61	"I"	94.7242500150668	0.883008475510641
"P26"	214	165	"J"	81.8835896447869	6.3478828633562
"P27"	285	9	"I"	87.1980416598391	12.0561355299622
"P28"	200	41	"J"	86.572021734664	17.5232023220999
"P29"	260	10	"I"	86.9883784063902	12.5420861475717
"P30"	431	10	"I"	99.0685188975302	20.9536198046304
"P31"	298	1	"G"	94.4776639768622	0
"P32"	103	19	"G"	97.5122643807168	0
"P33"	200	0	"G"	89.5203032024145	7.34224318910141
"P34"	195	16	"G"	93.3001459917581	11.2865837903988
"P35"	84	10	"J"	85.6052697042979	34.0912116503914
"P36"	75	0	"J"	97.6246005209918	5.10258453331708
"P37"	163	8	"G"	99.9999999998727	0.626441319540602
"P38"	65	5	"G"	95.281711492514	0.883069507569433
"P39"	200	1	"B"	99.999999999849	5.8821652845092
"P40"	425	25	"B"	100.000000000058	0.0132432208363858
"P41"	400	0	"B"	99.9999999997688	3.80972547171639
"P42"	159	10	"B"	99.9999999997932	0
"P43"	108	5	"G"	99.9999999997632	15.1194361289305
"P44"	355	0	"G"	97.7260023386897	7.91279132040612
"P45"	288	0	"G"	99.5981642798122	4.88066566744086
"P46"	207	21	"G"	99.9999999997917	9.8706520233758
"P47"	368	0	"C"	84.318412364661	6.69877207331456
"P48"	109	6	"C"	93.2398148885755	14.6097166200861
"P49"	430	0	"H"	48.3321264268732	6.35409082290771
"P50"	300	0	"H"	99.5269279890831	20.8287718013544
"P51"	615	10	"H"	92.6634007519445	33.1170263745011
"P52"	150	27	"J"	99.7842383823738	1.80633094137506
"P53"	232	5	"H"	99.9999999999314	53.5790580821495
"P54"	179	10	"A"	100.000000000019	0
"P55"	375	122	"A"	75.8144494157952	0
"P56"	197	5	"J"	79.2738636282935	14.4613867630306
"P57"	200	10	"G"	97.8249023949011	68.3079272023424
"P58"	130	39	"I"	99.9158892515469	0
"P59"	76	0	"I"	99.9999999998054	0
"P60"	219	2	"I"	99.9999999998191	0
"P61"	220	46	"G"	84.3666958428484	10.9327878551307
"P62"	110	15	"G"	90.0646293189969	46.0306444003933
"P63"	220	9	"J"	90.3969573562276	39.7508691548751
"P64"	359	12	"G"	96.4457417664264	6.91621773375297
"P65"	160	17	"A"	99.9999999995674	0.432409116017887
"P66"	150	21	"A"	99.9999999995915	0.41661167898767
"P67"	150	17	"A"	99.9999999999408	0.2362118696813
"P68"	189	27	"A"	98.6619479050076	8.94699048212491
"P69"	198	21	"A"	99.9999999995482	4.09822846390696
"P70"	121	11	"B"	99.5609939463043	0
