"code_copro"	"date"	"date_julienne"	"essence"	"m"	"diametre_tronc"	"vol_couronne"
"1"	"1251A"	"04-mai"	123	"PS"	0.0026	30	364.8
"2"	"1251A"	"30-avr"	119	"PS"	0.00171	30	364.8
"3"	"1251A"	"14-mai"	133	"PS"	0.00055	30	364.8
"4"	"1251A"	"20-mai"	139	"PS"	0.01587	30	364.8
"5"	"1251A"	"07-mai"	126	"PS"	0.00326	30	364.8
"7"	"1251A"	"11-juin"	161	"PS"	0.00841	30	364.8
"8"	"1251A"	"17-juin"	167	"PS"	0.02569	30	364.8
"9"	"1251A"	"27-mai"	146	"PS"	0.03761	30	364.8
"10"	"1251A"	"03-juin"	153	"PS"	0.042	30	364.8
"11"	"1251A"	"24-juin"	174	"PS"	0.03723	30	364.8
"12"	"1252A"	"07-mai"	126	"PS"	0	20	82.50666667
"13"	"1252A"	"11-mai"	130	"PS"	5e-04	20	82.50666667
"14"	"1252A"	"30-avr"	119	"PS"	0	20	82.50666667
"15"	"1252A"	"04-mai"	123	"PS"	0.00076	20	82.50666667
"16"	"1252A"	"20-mai"	139	"PS"	0.00381	20	82.50666667
"17"	"1252A"	"27-mai"	146	"PS"	0.01577	20	82.50666667
"18"	"1252A"	"03-juin"	153	"PS"	0.01826	20	82.50666667
"19"	"1252A"	"14-mai"	133	"PS"	0	20	82.50666667
"20"	"1252A"	"17-juin"	167	"PS"	0.00695	20	82.50666667
"22"	"1252A"	"11-juin"	161	"PS"	0.0064	20	82.50666667
"23"	"1253A"	"27-mai"	146	"PS"	0.00763	35	168.26
"24"	"1253A"	"14-mai"	133	"PS"	0	35	168.26
"25"	"1253A"	"20-mai"	139	"PS"	0.00554	35	168.26
"26"	"1253A"	"30-avr"	119	"PS"	0	35	168.26
"27"	"1253A"	"04-mai"	123	"PS"	0.00055	35	168.26
"28"	"1253A"	"07-mai"	126	"PS"	0	35	168.26
"29"	"1253A"	"11-mai"	130	"PS"	0.00072	35	168.26
"30"	"1253A"	"17-juin"	167	"PS"	0.00579	35	168.26
"31"	"1253A"	"24-juin"	174	"PS"	0.0073	35	168.26
"32"	"1253A"	"03-juin"	153	"PS"	0.03455	35	168.26
"33"	"1253A"	"11-juin"	161	"PS"	0.00801	35	168.26
"34"	"1254A"	"03-juin"	153	"PS"	0.05109	25	208.572
"35"	"1254A"	"11-juin"	161	"PS"	0.02115	25	208.572
"36"	"1254A"	"30-avr"	119	"PS"	0	25	208.572
"37"	"1254A"	"04-mai"	123	"PS"	0.00188	25	208.572
"38"	"1254A"	"07-mai"	126	"PS"	0.00061	25	208.572
"39"	"1254A"	"11-mai"	130	"PS"	0	25	208.572
"40"	"1254A"	"14-mai"	133	"PS"	0	25	208.572
"41"	"1254A"	"20-mai"	139	"PS"	0.00959	25	208.572
"42"	"1254A"	"27-mai"	146	"PS"	0.01487	25	208.572
"43"	"1254A"	"17-juin"	167	"PS"	0.02925	25	208.572
"44"	"1254A"	"24-juin"	174	"PS"	0.04334	25	208.572
"45"	"141A"	"17-juin"	167	"CH"	0.01494	70	2730
"46"	"141A"	"24-juin"	174	"CH"	0.02291	70	2730
"47"	"141A"	"30-avr"	119	"CH"	0.00935	70	2730
"50"	"141A"	"11-mai"	130	"CH"	0.06458	70	2730
"51"	"141A"	"14-mai"	133	"CH"	0.0217	70	2730
"52"	"141A"	"20-mai"	139	"CH"	0.17424	70	2730
"53"	"141A"	"27-mai"	146	"CH"	0.09062	70	2730
"54"	"141A"	"3-juin"	153	"CH"	0.05719	70	2730
"67"	"143A"	"30-avr"	119	"CH"	0.00939	55	2487.75
"68"	"143A"	"04-mai"	123	"CH"	0.07459	55	2487.75
"69"	"143A"	"07-mai"	126	"CH"	0.08836	55	2487.75
"70"	"143A"	"11-mai"	130	"CH"	0.01039	55	2487.75
"71"	"143A"	"14-mai"	133	"CH"	0.01229	55	2487.75
"72"	"143A"	"20-mai"	139	"CH"	0.21202	55	2487.75
"74"	"143A"	"3-juin"	153	"CH"	0.03437	55	2487.75
"76"	"143A"	"17-juin"	167	"CH"	0.01538	55	2487.75
"78"	"144A"	"30-avr"	119	"CH"	0.01265	45	1511.033333
"79"	"144A"	"04-mai"	123	"CH"	0.08017	45	1511.033333
"80"	"144A"	"07-mai"	126	"CH"	0.04825	45	1511.033333
"81"	"144A"	"11-mai"	130	"CH"	0.02517	45	1511.033333
"83"	"144A"	"20-mai"	139	"CH"	0.15423	45	1511.033333
"84"	"144A"	"27-mai"	146	"CH"	0.1038	45	1511.033333
"85"	"144A"	"3-juin"	153	"CH"	0.07164	45	1511.033333
"87"	"144A"	"17-juin"	167	"CH"	0.03987	45	1511.033333
"88"	"144A"	"24-juin"	174	"CH"	0.04644	45	1511.033333
"89"	"455A"	"30-avr"	119	"CH"	0.0107	50	1623.6
