name;Acant;Aego;Ariant;Arion_f;Arion_h;Arion_i;Arion_s;Azeca;Cepaea;Claus_r;Claus_b;Colum;Der_inv;Disc;Eucon;Lehm;Malac;Nesov;Phenac;Punct;Semil;Troch;Vitr_con;Vitr_cry;Vitr_pel
F1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
F11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F12;0;4;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;4;0;0;1;0
F13;0;0;0;0;1;0;0;0;0;0;0;0;0;8;2;0;0;0;1;0;0;0;0;0;0
F14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
F15;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
F16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
F17;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0
F18;4;4;0;0;0;0;0;5;0;1;0;0;0;26;3;0;0;0;0;4;9;0;9;0;0
F19;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;1;0;1;0;0
F2;0;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0
F20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F21;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7;0;0;0;2;0;0
F22;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;2;0;0
F23;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;5;0;0;0;1;1;0;0;0;0
F24;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;0;0
F25;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;11;0;3;0;5;0;0
F26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F27;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0
F3;0;0;0;1;0;0;1;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1
F30;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;1;0;4;0;0
F31;2;3;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;1;0;2;0;7;0;0
F32;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;2;0;0;0;0
F33;0;12;0;1;0;0;0;0;0;2;0;0;0;7;3;0;0;10;0;0;12;0;1;0;0
F34;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0
F35;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
F36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
F37;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;3;1;1;0;0;0;0
F38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F39;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;6;0;0;0;0
F4;1;1;1;0;0;0;0;0;1;0;0;0;0;4;1;0;0;1;0;0;2;0;0;0;0
F40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
F42;1;6;0;0;0;0;1;0;0;1;0;0;0;9;0;0;0;0;1;1;1;1;0;3;0
F43;0;31;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;0;0;0;2;0;2;0;0
F44;0;3;0;0;1;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;1;0;7;0;0
F45;0;2;0;1;0;0;0;0;0;4;0;1;0;10;2;0;0;0;0;10;3;0;3;0;0
F46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
F48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F49;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;4;0;0
F5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0
F50;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0
F51;3;12;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;3;0;25;1;0
F52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F53;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;2;0;0
F54;1;0;0;1;0;0;1;1;0;0;0;0;1;4;6;0;0;0;0;0;2;0;1;0;0
F55;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;4;0;0;0;0
F56;1;7;0;2;0;0;0;0;0;0;0;0;0;13;2;0;0;0;1;0;14;0;2;0;0
F57;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
F58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0
F59;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0
F6;1;0;0;1;0;1;0;0;1;0;0;0;0;4;0;0;0;0;1;0;0;0;2;0;0
F60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
F7;0;8;0;0;1;0;0;10;0;0;1;0;0;70;0;0;0;0;2;2;3;1;4;0;0
F8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
F9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
