"mpoint"	"massif"	"rs"	"Hdom"	"nstrates"	"essence"	"dist_lisiere"	"shannon_area"	"longueur_lisiere"	"mean_area"
"Belleme_10"	"Belleme"	18	35	6	"CHE"	146	1.51195380113479	3099	39070.95
"Belleme_100"	"Belleme"	15	28	6	"CHE"	102	1.69699577563465	3934	43412
"Belleme_101"	"Belleme"	8	22	6	"CHE"	390	1.58392943831607	4766	43411.9444444444
"Belleme_102"	"Belleme"	10	22	6	"CHE"	527	1.33048404083463	4629	78141.7
"Belleme_103"	"Belleme"	12	24	6	"CHE"	686	1.62421846611637	4138	55815.5714285714
"Belleme_104"	"Belleme"	12	24	6	"CHE"	548	2.02383512509582	3921	52094.4
"Belleme_105"	"Belleme"	8	16	5	"CHE"	490	1.85405381480991	4274	48838.5625
"Belleme_106"	"Belleme"	13	16	5	"CHE"	491	2.26611922021573	3851	26047.2333333333
"Belleme_107"	"Belleme"	11	15	5	"CHE"	605	2.54904189214898	3974	25207.064516129
"Belleme_108"	"Belleme"	9	15	5	"CHE"	785	2.87142859937328	4454	25207.064516129
"Belleme_109"	"Belleme"	11	32	6	"PS"	996	2.75615384755442	3873	26945.3793103448
"Belleme_11"	"Belleme"	16	20	6	"DOU"	232	1.66943735211836	4720	48838.5625
"Belleme_110"	"Belleme"	10	32	6	"PS"	1054	2.40688801049659	3122	35519.0454545455
"Belleme_111"	"Belleme"	10	11	5	"CHE"	1098	1.9123457651381	3309	52094.5333333333
"Belleme_112"	"Belleme"	16	33	6	"CHE"	1149	1.31202698819239	3783	86824.1111111111
"Belleme_113"	"Belleme"	14	33	6	"CHE"	901	1.5882322371986	3439	39070.85
"Belleme_114"	"Belleme"	11	11	5	"CHE"	653	1.81362894278091	2997	45965.7058823529
"Belleme_115"	"Belleme"	13	20	6	"SP"	409	2.34525424543174	2166	32558.9166666667
"Belleme_116"	"Belleme"	14	15	5	"CHE"	179	2.33841175897928	4985	35518.8636363636
"Belleme_117"	"Belleme"	15	42	6	"CHE"	62	2.17874227902289	4523	43412.1666666667
"Belleme_12"	"Belleme"	12	20	6	"DOU"	207	1.71758529529652	4533	55815.5714285714
"Belleme_13"	"Belleme"	14	31	6	"PS"	202	2.28632220120198	3547	48838.5625
"Belleme_14"	"Belleme"	12	20	6	"DOU"	79	2.21749669720253	3754	48838.5625
"Belleme_15"	"Belleme"	11	16	5	"CHE"	22	1.94696254612074	3303	65118
"Belleme_154"	"Belleme"	16	32	6	"PS"	35	2.55702475558517	4141	26945.5172413793
"Belleme_155"	"Belleme"	15	6	5	"CHE"	257	2.59009342835908	4466	37210.380952381
"Belleme_156"	"Belleme"	16	35	6	"PS"	491	2.52364662771212	3838	45965.6470588235
"Belleme_157"	"Belleme"	15	35	6	"PS"	736	2.11683905231626	4722	60108.8461538462
"Belleme_158"	"Belleme"	15	34	6	"CHE"	955	1.2214428628267	4768	71037.9090909091
"Belleme_159"	"Belleme"	13	34	6	"CHE"	1035	0.766525482386243	4768	111631.142857143
"Belleme_160"	"Belleme"	17	34	6	"CHE"	1105	0.720623817503315	5387	130236.166666667
"Belleme_161"	"Belleme"	13	32	6	"CHE"	1056	1.00441457549402	4667	78141.9
"Belleme_162"	"Belleme"	11	32	6	"CHE"	1064	1.69687252060226	3989	60109
"Belleme_163"	"Belleme"	16	35	6	"CHE"	989	2.32772421204629	2052	37210.4285714286
"Belleme_164"	"Belleme"	11	20	6	"SP"	952	2.57400441132385	2169	30054.5
"Belleme_165"	"Belleme"	15	11	5	"CHE"	979	2.81360318286663	2132	28941.4074074074
"Belleme_166"	"Belleme"	12	11	5	"CHE"	792	2.38939957342146	3224	31256.72
"Belleme_167"	"Belleme"	9	10	5	"CHE"	574	2.24965484213688	4470	35518.8636363636
"Belleme_168"	"Belleme"	15	30	6	"CHE"	378	2.02667540817753	5053	55815.5714285714
"Belleme_169"	"Belleme"	12	30	6	"CHE"	286	1.82333972531574	3073	60108.9230769231
"Belleme_170"	"Belleme"	15	30	6	"CHE"	326	1.36965473269847	3856	65118
"Belleme_171"	"Belleme"	16	33	6	"CHE"	350	1.07445292008946	4478	55815.3571428571
"Belleme_172"	"Belleme"	13	34	6	"CHE"	255	0.899874284958386	4698	65117.9166666667
"Belleme_173"	"Belleme"	18	34	6	"CHE"	345	0.619707671470421	4708	60109
"Belleme_174"	"Belleme"	11	34	6	"CHE"	545	0.569572482441955	5075	78141.7
"Belleme_175"	"Belleme"	17	32	6	"CHE"	775	1.09856395725287	5003	111631
"Belleme_176"	"Belleme"	14	32	6	"CHE"	1015	1.49895576268709	4742	86824
"Belleme_177"	"Belleme"	15	41	6	"CHE"	1026	1.88087213284897	4725	78141.6
"Belleme_178"	"Belleme"	9	14	5	"CHE"	983	1.9048858990956	4564	55815.4285714286
"Belleme_179"	"Belleme"	11	14	5	"CHE"	983	1.77610027569968	3746	41127.2631578947
"Belleme_180"	"Belleme"	12	14	5	"CHE"	1045	2.04278132758851	3334	33974.6086956522
"Belleme_181"	"Belleme"	14	11	5	"CHE"	1003	2.41157268327167	3531	32559.0833333333
"Belleme_182"	"Belleme"	12	11	5	"CHE"	1004	2.16954077012482	3248	31256.76
"Belleme_183"	"Belleme"	10	6	5	"CHE"	996	1.71831580770757	3866	41127.2631578947
"Belleme_184"	"Belleme"	18	6	5	"CHE"	861	1.57817373405122	3392	60109
"Belleme_185"	"Belleme"	18	36	6	"CHE"	742	1.4708411453545	3560	78141.6
"Belleme_186"	"Belleme"	15	36	6	"CHE"	694	1.79679774602264	4180	52094.4666666667
"Belleme_187"	"Belleme"	16	29	6	"DOU"	612	2.18465736904547	3249	43412
"Belleme_188"	"Belleme"	8	21	6	"SP"	465	2.48722003775478	3071	33974.652173913
"Belleme_189"	"Belleme"	6	29	6	"DOU"	376	2.0643101720665	3526	43412.0555555556
"Belleme_190"	"Belleme"	14	6	5	"CHE"	417	1.66005954836082	3871	60109
"Belleme_191"	"Belleme"	17	40	6	"CHE"	285	1.46074909506821	4148	71038
"Belleme_192"	"Belleme"	19	40	6	"CHE"	243	1.65811713872202	4354	52094.4666666667
"Belleme_193"	"Belleme"	18	38	6	"CHE"	182	1.92965279194724	4634	52094.5333333333
"Belleme_194"	"Belleme"	8	6	5	"CHE"	44	1.83239241663404	3566	55815.5
"Belleme_234"	"Belleme"	11	12	5	"CHE"	35	2.59347395630285	3070	24416.03125
"Belleme_235"	"Belleme"	12	12	5	"CHE"	226	2.58924168056973	2711	23679.303030303
"Belleme_236"	"Belleme"	14	12	5	"CHE"	225	2.29885792391903	2491	25207.0967741935
"Belleme_237"	"Belleme"	17	12	5	"CHE"	285	2.38476511627128	3806	30054.5384615385
"Belleme_238"	"Belleme"	16	37	6	"CHE"	481	2.24102989696482	4628	41127.1578947368
"Belleme_239"	"Belleme"	13	37	6	"CHE"	712	1.94565776120735	5443	55815.4285714286
"Belleme_240"	"Belleme"	14	35	6	"CHE"	852	1.74672551723952	5627	60109
"Belleme_241"	"Belleme"	18	35	6	"CHE"	768	1.46029842435398	5623	86824
"Belleme_242"	"Belleme"	14	36	6	"CHE"	756	1.34036708066372	5624	86824.2222222222
"Belleme_243"	"Belleme"	14	36	6	"CHE"	824	1.17954833267172	5624	130236.333333333
"Belleme_244"	"Belleme"	13	36	6	"CHE"	940	0.846497652952361	5734	130236.333333333
"Belleme_245"	"Belleme"	12	34	6	"CHE"	1068	1.33499338511444	5723	111631
"Belleme_246"	"Belleme"	15	34	6	"CHE"	1064	1.70533317014608	4779	86824
"Belleme_247"	"Belleme"	12	6	5	"CHE"	1054	1.96257937839052	4081	48838.625
"Belleme_248"	"Belleme"	18	36	6	"CHE"	1103	1.84758607699035	4415	43412.0555555556
"Belleme_249"	"Belleme"	16	36	6	"CHE"	1084	1.68984129430037	4450	55815.6428571429
"Belleme_250"	"Belleme"	14	36	6	"CHE"	930	1.44775401178651	5132	55815.5
"Belleme_251"	"Belleme"	14	28	6	"CHE"	824	1.10655097768626	4489	86824.1111111111
"Belleme_252"	"Belleme"	13	38	6	"CHE"	786	0.641227575719241	4482	130236.333333333
"Belleme_253"	"Belleme"	17	38	6	"CHE"	825	0.267396586483325	4559	156283.2
"Belleme_254"	"Belleme"	13	38	6	"CHE"	801	0.000828475436154667	5112	390708.5
"Belleme_255"	"Belleme"	19	35	6	"CHE"	755	0.218217453702086	5068	260472
"Belleme_256"	"Belleme"	13	35	6	"CHE"	790	0.501709746139765	5067	156283.4
"Belleme_257"	"Belleme"	15	36	6	"CHE"	896	0.509667649920977	5097	156283.2
"Belleme_258"	"Belleme"	12	32	6	"CHE"	808	0.890644978863591	5097	195354.25
"Belleme_259"	"Belleme"	17	32	6	"CHE"	666	1.14606806172916	5030	156283.4
"Belleme_260"	"Belleme"	16	32	6	"CHE"	599	1.40363812841307	5051	156283.2
"Belleme_261"	"Belleme"	15	32	6	"CHE"	597	1.50228785868206	5051	86823.8888888889
"Belleme_262"	"Belleme"	11	32	6	"CHE"	631	1.59104417550598	4670	97677
"Belleme_263"	"Belleme"	14	34	6	"CHE"	599	1.58472584893428	4618	78141.7
"Belleme_264"	"Belleme"	17	34	6	"CHE"	508	1.54618701600706	4711	78141.6
"Belleme_265"	"Belleme"	9	33	6	"CHE"	505	1.29505152090279	4135	60109
"Belleme_266"	"Belleme"	15	33	6	"CHE"	582	1.60670988892384	3517	78141.7
"Belleme_267"	"Belleme"	15	7	5	"CHE"	447	1.73842456722357	4196	65118.25
"Belleme_268"	"Belleme"	14	33	6	"CHE"	305	1.69486045513157	4263	60109
"Belleme_269"	"Belleme"	18	39	6	"CHE"	194	1.63037104850204	4263	48838.625
"Belleme_270"	"Belleme"	16	35	6	"CHE"	166	1.78354940003982	4603	48838.625
"Belleme_271"	"Belleme"	14	6	5	"CHE"	56	2.22567775587878	3726	52094.4666666667
"Belleme_272"	"Belleme"	9	21	6	"CHE"	50	1.90568416054072	3283	52094.4
"Belleme_273"	"Belleme"	13	21	6	"CHE"	81	1.75758311099522	4733	60109
"Belleme_274"	"Belleme"	19	40	6	"CHE"	14	1.4867279650573	4150	86824.2222222222
"Belleme_309"	"Belleme"	10	10	5	"CHE"	34	1.87469768012216	3373	41127.2631578947
"Belleme_310"	"Belleme"	9	10	5	"CHE"	222	1.99331976535484	4052	43412.1111111111
"Belleme_311"	"Belleme"	14	29	6	"CHE"	313	1.53141237224924	4183	45965.7058823529
"Belleme_312"	"Belleme"	14	16	5	"CHE"	349	0.947487547289776	4644	45965.5882352941
"Belleme_313"	"Belleme"	15	16	5	"CHE"	353	0.827509801359679	5090	55815.4285714286
"Belleme_314"	"Belleme"	11	16	5	"CHE"	363	0.906013217712008	4914	65118.1666666667
"Belleme_315"	"Belleme"	13	20	6	"CHE"	294	1.21301111208981	4961	71037.7272727273
"Belleme_316"	"Belleme"	15	37	6	"CHE"	267	1.37722582080001	4962	71037.7272727273
"Belleme_317"	"Belleme"	20	37	6	"CHE"	381	1.48700154936878	5609	78141.6
"Belleme_318"	"Belleme"	14	24	6	"CHE"	525	1.67723137618281	5295	86823.8888888889
"Belleme_319"	"Belleme"	11	24	6	"CHE"	649	1.74348906296204	5292	65117.9166666667
"Belleme_320"	"Belleme"	12	31	6	"CHE"	575	1.56259527976828	4901	65117.9166666667
"Belleme_321"	"Belleme"	12	31	6	"CHE"	558	1.11421916890787	4576	78141.6
"Belleme_322"	"Belleme"	11	38	6	"CHE"	645	0.636562517528302	4572	111630.714285714
"Belleme_323"	"Belleme"	14	38	6	"CHE"	805	0.447091011359672	4574	260472.333333333
"Belleme_324"	"Belleme"	14	36	6	"CHE"	715	0.455728125829438	5034	390708.5
"Belleme_325"	"Belleme"	12	36	6	"CHE"	614	0.608330216457202	4783	195354.5
"Belleme_326"	"Belleme"	14	36	6	"CHE"	589	0.689995999081168	4931	390708
"Belleme_327"	"Belleme"	13	37	6	"CHE"	573	0.765367356305626	5101	260472.333333333
"Belleme_328"	"Belleme"	18	37	6	"CHE"	559	0.625594984378233	5113	195354.25
