Indiv;PhCode;Species;Ph.NbSy;Ph.Rythme;Ph.Du;Ph.F0;Ph.Q50;NbPh
KA26783;KA26783R1P1Ph1;PDD;5;2.19;1.04;535.6;675.6;5
KA26783;KA26783R1P1Ph2;PDD;5;1.48;1.25;575.3;701.1;5
KA26783;KA26783R1P1Ph3;PDD;5;1.55;1.26;570.6;690.4;5
KA26783;KA26783R1P1Ph4;PDD;5;1.57;1.27;569.2;697.8;5
KA28077;KA28077R1P1Ph2;PDD;3;1.6;1.31;694.4;631.1;9
KA28077;KA28077R1P1Ph3;PDD;3;1.72;1.32;695.7;668.2;9
KA28077;KA28077R1P1Ph4;PDD;3;1.71;1.33;691;676.2;9
KA28077;KA28077R1P1Ph5;PDD;4;1.45;1.34;666.1;689.7;9
KA28077;KA28077R1P1Ph6;PDD;3;1.75;1.39;736.8;687;9
KA28077;KA28077R1P1Ph7;PDD;4;1.48;1.39;740.8;711.2;9
KA28077;KA28077R1P1Ph8;PDD;4;1.7;1.43;730.7;693.7;9
KA28077;KA28077R1P1Ph9;PDD;4;1.12;1.05;773.8;707.2;9
KA28080;KA28080R1P1Ph1;PDD;4;2.54;1.08;1002.6;806.1;4
KA28080;KA28080R1P1Ph2;PDD;5;1.84;1.26;583.4;792.6;4
KA28080;KA28080R1P1Ph3;PDD;5;2.11;1.25;593.5;783.9;4
KA28080;KA28080R1P1Ph4;PDD;5;2.04;1.25;562.5;769.8;4
KA28110;KA28110R1P1Ph1;PDD;5;1.77;1.19;565.83;665.93;6
KA28110;KA28110R1P1Ph2;PDD;5;1.27;1.33;588.1;628.5;6
KA28110;KA28110R1P1Ph3;PDD;5;2.14;1.17;564.5;662.1;6
KA28110;KA28110R1P1Ph4;PDD;5;1.63;1.3;683;679.6;6
KA28110;KA28110R1P1Ph5;PDD;5;1.82;1.34;623.7;696.4;6
KA28110;KA28110R1P1Ph6;PDD;5;1.68;1.33;684.3;707.2;6
KA28109;KA28109R1P1Ph1;PDD;4;1.2;1.08;470.3;536.9;6
KA28109;KA28109R1P1Ph2;PDD;4;1.14;1.23;625.8;627.8;6
KA28109;KA28109R1P1Ph3;PDD;4;1.3;1.23;641.2;651.3;6
KA28109;KA28109R1P1Ph4;PDD;4;1.44;1.25;655.4;654;6
KA28109;KA28109R1P1Ph5;PDD;4;1.45;1.26;657.4;650;6
KA28109;KA28109R1P1Ph6;PDD;4;1.45;1.27;645.9;645.9;6
KA28101;KA28101R1P1Ph1;PDD;5;1.68;1.04;335.7;661.4;5
KA28101;KA28101R1P1Ph2;PDD;5;0.98;1.6;765.7;699.8;5
KA28101;KA28101R1P1Ph3;PDD;6;1.27;1.38;615.7;737.5;5
KA28101;KA28101R1P1Ph4;PDD;6;1.53;1.39;973.7;728;5
KA28101;KA28101R1P1Ph5;PDD;6;1.51;1.42;614.3;715.9;5
KA28103;KA28103R1P1Ph1;PDD;5;1.99;1.31;434.7;432.6;4
KA28103;KA28103R1P1Ph2;PDD;6;1.39;1.56;486.5;500.6;4
