"Indiv";"Mass";"Tarsus";"BillLength";"BillDepth";"WingLength";"WingSurface"
"GX22014";203;31,6;26,2;9,2;218;251,7
"GX24026";176;32,1;26,5;10,4;223;213,9
"GX26019";165;33,8;25,5;8,9;216;207,8
"GX26097";203;33,7;25,4;8,8;218;219,9
"GX26108";214;33,8;25,6;9,1;218;184,8
"GX27267";189;33,03;25,17;9,9;219,33;187,7
"GX27269";168;31,8;24,3;9,27;215;178,55
"GX27358";169;34,3;24,3;9;222;206,7
"GX29533";179;31,9;26,9;9,5;216;185,13
"GX29539";179;33,8;26;10,3;213;195,07
"GX29589";160;33,47;25,1;8,83;215,33;198,97
"GX29613";189;34,93;26,17;9,27;219,33;176,92
"GX29621";175;33;26,4;10,73;222,67;176,47
"GX29625";205;34,23;28;9,43;221;210,16
"GX29627";167;34,83;26,93;9,5;210;197,72
"GX29658";197;33,43;25,43;9,7;219;154,05
"GX29660";173;32,97;25,47;9,77;208,67;200,47
"GX29664";187;31,4;25,53;9,23;224;194,93
"GX29665";167;33,87;26,17;8,67;218,67;201,63
"GX29678";172;33,2;26,2;9,9;224;201,17
"GX29680";170;34,1;26,2;9,9;219;190,03
"GX29819";175;33,33;27,4;10;220,33;179
"GX29832";190;33,33;25,93;9,43;221,67;213,97
"GX29833";185;33,63;26,03;8,63;220,33;215,27
"KA26716";144;31,3;27,1;8,03;182;159,7
"KA26783";153;31,7;26,7;8,4;195;181,79
"KA26930";143;34,1;26,93;8,47;191,33;154,73
"KA27174";169;34,2;28,1;8,8;189;168,99
"KA28031";150;32,4;27,03;8,7;191,67;215,4
"KA28077";154;32,9;24,3;7,9;185;191
"KA28080";172;33,3;26,8;8,2;200;194,98
"KA28101";169;34,9;26,2;8,7;200;211,5
"KA28103";168;34,5;27,1;8,7;196;174,3
"KA28109";169;34;27;9,2;187;138,74
"KA28110";150;33,4;26,37;8,7;187,67;187,26
"KA28111";179;33,4;26,5;9,3;194;179,45
"KA28112";162;34,1;27,2;8,4;194;191,21
"KA28113";153;32,1;26;10,1;190;191,15
"KA28114";162;33,5;27;8,6;191;203,32
"KA28115";182;32,9;27,3;8,5;188;176,01
"KA28171";152;32,43;28,1;8,2;193;171,9
"KA28172";160;31,67;26,4;8,33;189;171,29
