"parcelle"	"code_arbre"	"essence"	"date_jul"	"bmean"
125	"P12511"	"PS"	104	2
125	"P12511"	"PS"	111	2
125	"P12511"	"PS"	118	3
125	"P12511"	"PS"	125	4
125	"P12511"	"PS"	132	3
125	"P12511"	"PS"	139	8
125	"P12511"	"PS"	146	9
125	"P12511"	"PS"	153	9
125	"P12512"	"PS"	104	2
125	"P12512"	"PS"	111	2
125	"P12512"	"PS"	118	3
125	"P12512"	"PS"	125	4
125	"P12512"	"PS"	132	4
125	"P12512"	"PS"	139	8
125	"P12512"	"PS"	146	9
125	"P12512"	"PS"	153	9
125	"P12513"	"PS"	104	2
125	"P12513"	"PS"	111	2
125	"P12513"	"PS"	118	3
125	"P12513"	"PS"	125	3
125	"P12513"	"PS"	132	4
125	"P12513"	"PS"	139	8
125	"P12513"	"PS"	146	8
125	"P12513"	"PS"	153	9
125	"P12514"	"PS"	104	1
125	"P12514"	"PS"	111	2
125	"P12514"	"PS"	118	3
125	"P12514"	"PS"	125	4
125	"P12514"	"PS"	132	4
125	"P12514"	"PS"	139	8
125	"P12514"	"PS"	146	9
125	"P12514"	"PS"	153	9
125	"P12515"	"PS"	104	2
125	"P12515"	"PS"	111	2
125	"P12515"	"PS"	118	3
125	"P12515"	"PS"	125	4
125	"P12515"	"PS"	132	4
125	"P12515"	"PS"	139	8
125	"P12515"	"PS"	146	9
125	"P12515"	"PS"	153	9
125	"P12516"	"PS"	104	1
125	"P12516"	"PS"	111	2
125	"P12516"	"PS"	118	3
125	"P12516"	"PS"	125	4
125	"P12516"	"PS"	132	4
125	"P12516"	"PS"	139	8
125	"P12516"	"PS"	146	9
125	"P12516"	"PS"	153	9
125	"P12521"	"PS"	104	1
125	"P12521"	"PS"	111	2
125	"P12521"	"PS"	118	3
125	"P12521"	"PS"	125	4
125	"P12521"	"PS"	132	3
125	"P12521"	"PS"	139	7
125	"P12521"	"PS"	146	8
125	"P12521"	"PS"	153	9
125	"P12522"	"PS"	104	1
125	"P12522"	"PS"	111	2
125	"P12522"	"PS"	118	3
125	"P12522"	"PS"	125	3
125	"P12522"	"PS"	132	3
125	"P12522"	"PS"	139	6
125	"P12522"	"PS"	146	8
125	"P12522"	"PS"	153	8
125	"P12523"	"PS"	104	2
125	"P12523"	"PS"	111	2
125	"P12523"	"PS"	118	3
125	"P12523"	"PS"	125	3
125	"P12523"	"PS"	132	3
125	"P12523"	"PS"	139	7
125	"P12523"	"PS"	146	9
125	"P12523"	"PS"	153	9
125	"P12524"	"PS"	104	1
125	"P12524"	"PS"	111	2
125	"P12524"	"PS"	118	3
125	"P12524"	"PS"	125	4
125	"P12524"	"PS"	132	NA
125	"P12524"	"PS"	139	7
125	"P12524"	"PS"	146	9
125	"P12524"	"PS"	153	9
125	"P12525"	"PS"	104	1
125	"P12525"	"PS"	111	2
125	"P12525"	"PS"	118	3
125	"P12525"	"PS"	125	3
125	"P12525"	"PS"	132	4
125	"P12525"	"PS"	139	6
125	"P12525"	"PS"	146	8
125	"P12525"	"PS"	153	9
125	"P12526"	"PS"	104	2
125	"P12526"	"PS"	111	2
125	"P12526"	"PS"	118	3
125	"P12526"	"PS"	125	3
125	"P12526"	"PS"	132	4
125	"P12526"	"PS"	139	7
125	"P12526"	"PS"	146	8
125	"P12526"	"PS"	153	9
125	"P12531"	"PS"	104	2
125	"P12531"	"PS"	111	2
125	"P12531"	"PS"	118	4
125	"P12531"	"PS"	125	4
125	"P12531"	"PS"	132	5
125	"P12531"	"PS"	139	8
125	"P12531"	"PS"	146	9
125	"P12531"	"PS"	153	9
125	"P12532"	"PS"	104	1
125	"P12532"	"PS"	111	2
125	"P12532"	"PS"	118	3
125	"P12532"	"PS"	125	4
125	"P12532"	"PS"	132	5
125	"P12532"	"PS"	139	7
125	"P12532"	"PS"	146	8
125	"P12532"	"PS"	153	9
125	"P12533"	"PS"	104	1
125	"P12533"	"PS"	111	2
125	"P12533"	"PS"	118	3
125	"P12533"	"PS"	125	4
125	"P12533"	"PS"	132	5
125	"P12533"	"PS"	139	7
125	"P12533"	"PS"	146	9
125	"P12533"	"PS"	153	9
125	"P12534"	"PS"	104	1
125	"P12534"	"PS"	111	2
125	"P12534"	"PS"	118	3
125	"P12534"	"PS"	125	4
125	"P12534"	"PS"	132	4
125	"P12534"	"PS"	139	7
125	"P12534"	"PS"	146	9
125	"P12534"	"PS"	153	9
125	"P12535"	"PS"	104	2
125	"P12535"	"PS"	111	2
125	"P12535"	"PS"	118	3
125	"P12535"	"PS"	125	3
125	"P12535"	"PS"	132	4
125	"P12535"	"PS"	139	7
125	"P12535"	"PS"	146	8
125	"P12535"	"PS"	153	9
125	"P12536"	"PS"	104	1
125	"P12536"	"PS"	111	2
125	"P12536"	"PS"	118	4
125	"P12536"	"PS"	125	4
125	"P12536"	"PS"	132	4
125	"P12536"	"PS"	139	8
125	"P12536"	"PS"	146	9
125	"P12536"	"PS"	153	9
125	"P12541"	"PS"	104	1
125	"P12541"	"PS"	111	2
125	"P12541"	"PS"	118	3
125	"P12541"	"PS"	125	4
125	"P12541"	"PS"	132	4
125	"P12541"	"PS"	139	6
125	"P12541"	"PS"	146	9
125	"P12541"	"PS"	153	9
125	"P12542"	"PS"	104	1
125	"P12542"	"PS"	111	2
125	"P12542"	"PS"	118	3
125	"P12542"	"PS"	125	4
125	"P12542"	"PS"	132	5
125	"P12542"	"PS"	139	7
125	"P12542"	"PS"	146	9
125	"P12542"	"PS"	153	9
125	"P12543"	"PS"	104	1
125	"P12543"	"PS"	111	2
125	"P12543"	"PS"	118	3
125	"P12543"	"PS"	125	4
125	"P12543"	"PS"	132	5
125	"P12543"	"PS"	139	7
125	"P12543"	"PS"	146	8
125	"P12543"	"PS"	153	9
125	"P12544"	"PS"	104	1
125	"P12544"	"PS"	111	2
125	"P12544"	"PS"	118	3
125	"P12544"	"PS"	125	3
125	"P12544"	"PS"	132	4
125	"P12544"	"PS"	139	7
125	"P12544"	"PS"	146	8
125	"P12544"	"PS"	153	9
125	"P12545"	"PS"	104	1
125	"P12545"	"PS"	111	2
125	"P12545"	"PS"	118	3
125	"P12545"	"PS"	125	3
125	"P12545"	"PS"	132	4
125	"P12545"	"PS"	139	8
125	"P12545"	"PS"	146	9
125	"P12545"	"PS"	153	9
125	"P12546"	"CHS"	104	2
125	"P12546"	"CHS"	111	7
125	"P12546"	"CHS"	118	8
125	"P12546"	"CHS"	125	9
125	"P12546"	"CHS"	132	9
125	"P12546"	"CHS"	139	9
125	"P12546"	"CHS"	146	9
125	"P12546"	"CHS"	153	9
14	"P1414"	"CHS"	104	2
14	"P1414"	"CHS"	111	7
14	"P1414"	"CHS"	118	8
14	"P1414"	"CHS"	125	9
14	"P1414"	"CHS"	132	9
14	"P1414"	"CHS"	139	9
14	"P1414"	"CHS"	146	9
14	"P1414"	"CHS"	153	9
14	"P1415"	"CHS"	104	2
14	"P1415"	"CHS"	111	6
14	"P1415"	"CHS"	118	8
14	"P1415"	"CHS"	125	9
14	"P1415"	"CHS"	132	9
14	"P1415"	"CHS"	139	9
14	"P1415"	"CHS"	146	9
14	"P1415"	"CHS"	153	9
14	"P1416"	"CHS"	104	2
14	"P1416"	"CHS"	111	8
14	"P1416"	"CHS"	118	8
14	"P1416"	"CHS"	125	9
14	"P1416"	"CHS"	132	9
14	"P1416"	"CHS"	139	9
14	"P1416"	"CHS"	146	9
14	"P1416"	"CHS"	153	9
14	"P1421"	"CHS"	104	2
14	"P1421"	"CHS"	111	3
14	"P1421"	"CHS"	118	8
14	"P1421"	"CHS"	125	9
14	"P1421"	"CHS"	132	9
14	"P1421"	"CHS"	139	9
14	"P1421"	"CHS"	146	9
14	"P1421"	"CHS"	153	9
14	"P1422"	"CHS"	104	2
14	"P1422"	"CHS"	111	6
14	"P1422"	"CHS"	118	8
14	"P1422"	"CHS"	125	9
14	"P1422"	"CHS"	132	9
14	"P1422"	"CHS"	139	9
14	"P1422"	"CHS"	146	9
14	"P1422"	"CHS"	153	9
14	"P1423"	"CHS"	104	2
14	"P1423"	"CHS"	111	4
14	"P1423"	"CHS"	118	NA
14	"P1423"	"CHS"	125	9
14	"P1423"	"CHS"	132	9
14	"P1423"	"CHS"	139	9
14	"P1423"	"CHS"	146	9
14	"P1423"	"CHS"	153	9
14	"P1424"	"CHS"	104	2
14	"P1424"	"CHS"	111	2
14	"P1424"	"CHS"	118	6
14	"P1424"	"CHS"	125	8
14	"P1424"	"CHS"	132	9
14	"P1424"	"CHS"	139	9
14	"P1424"	"CHS"	146	9
14	"P1424"	"CHS"	153	9
14	"P1425"	"CHS"	104	2
14	"P1425"	"CHS"	111	3
14	"P1425"	"CHS"	118	8
14	"P1425"	"CHS"	125	9
14	"P1425"	"CHS"	132	9
14	"P1425"	"CHS"	139	9
14	"P1425"	"CHS"	146	9
14	"P1425"	"CHS"	153	9
14	"P1426"	"CHS"	104	2
14	"P1426"	"CHS"	111	3
14	"P1426"	"CHS"	118	7
14	"P1426"	"CHS"	125	8
