"PLOT"	"X5_min"	"X10_min"	"X15_min"	"obs"	"total"	"PROPFOR"	"PROPNATFOR"	"SHA500"	"VEGH"	"altitude"	"hour_decimal"	"observer"	"region"	"zone"	"X"	"Y"
1	0	0	0	0	0	0.0206264323911383	0	0.100467166	8	210	10	"JM"	"Plain"	"Eyrewell_West"	2445450	5758900
4	0	0	0	0	0	0.626766840697823	0	0.660654027	4	231	9.17	"JM"	"Plain"	"Eyrewell_West"	2441572	5757871
5	0	0	0	0	0	0.592715231788079	0	0.675855047	2	233	8.97	"SL"	"Plain"	"Eyrewell_West"	2441459	5757147
8	0	0	0	0	0	0.214285714285714	0	0.578864828	8	214	7.25	"EB_LB_SL_JM"	"Plain"	"Eyrewell_West"	2444723	5757951
9	0	0	0	0	0	0.48452820578123	0	1.048333629	8	184	8.5	"MD"	"Plain"	"Eyrewell_Centre_Wes"	2448228	5756261
10	0	0	0	0	0	0.4793683138054	0	0.692295606	8	184	7.68	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2447991	5755039
11	0	0	0	0	0	0.656608097784568	0	0.705356356	15	206	10.58	"MD"	"Plain"	"Eyrewell_West"	2444901	5754453
12	0	0	0	0	0	0.48643830383293	0	1.011613564	15	205	7.95	"SL_JM"	"Plain"	"Eyrewell_West"	2445467	5757617
13	0	0	0	0	0	0.374554253693327	0	1.050820064	4	188	8.75	"JM"	"Plain"	"Eyrewell_West"	2447719	5754191
14	0	0	0	0	0	0.771610439210694	0	0.684722743	15	205	8.43	"SL_JM"	"Plain"	"Eyrewell_West"	2445029	5756589
15	0	0	0	0	0	0.872278110276328	0	0.449705852	25	207	8.95	"SL_JM"	"Plain"	"Eyrewell_West"	2444869	5755667
16	0	0	0	0	0	0.270597223990832	0	1.089059033	25	194	8	"LB_EB"	"Plain"	"Eyrewell_West"	2447116	5757187
17	0	0	0	0	0	0.438487009679063	0	0.685560278	15	195	8.42	"LB_EB"	"Plain"	"Eyrewell_West"	2446421	5756259
