"UN"	"RN"	"NAOdjfm"	"Annee"	"Poules"	"Nichees"	"lat_UN"	"long_UN"
8210103	"Chablais"	0.03	1998	13	8	46.2241	6.7552
8210103	"Chablais"	0.68	1999	14	10	46.2241	6.7552
8210103	"Chablais"	1.73	2000	7	4	46.2241	6.7552
8210103	"Chablais"	-1.04	2001	15	7	46.2241	6.7552
8210103	"Chablais"	0.71	2002	24	16	46.2241	6.7552
8210103	"Chablais"	0.1	2003	24	9	46.2241	6.7552
8210103	"Chablais"	-0.09	2004	3	0	46.2241	6.7552
8210103	"Chablais"	0.46	2005	12	7	46.2241	6.7552
8210103	"Chablais"	-0.93	2006	20	10	46.2241	6.7552
8210103	"Chablais"	1.25	2007	18	8	46.2241	6.7552
8210109	"Chablais"	-0.93	2006	11	5	46.1944	6.5873
8210109	"Chablais"	1.25	2007	15	6	46.1944	6.5873
8210112	"Chablais"	0.68	1999	8	5	46.1186	6.7567
8210112	"Chablais"	1.73	2000	17	7	46.1186	6.7567
8210112	"Chablais"	-1.04	2001	9	4	46.1186	6.7567
8210112	"Chablais"	0.71	2002	10	5	46.1186	6.7567
8210112	"Chablais"	0.1	2003	13	6	46.1186	6.7567
8210112	"Chablais"	-0.09	2004	19	7	46.1186	6.7567
8210112	"Chablais"	0.46	2005	13	6	46.1186	6.7567
8210112	"Chablais"	-0.93	2006	7	5	46.1186	6.7567
8210201	"Arve_Giffre"	0.68	1999	5	3	46.0269	6.7762
8210201	"Arve_Giffre"	1.73	2000	4	2	46.0269	6.7762
8210201	"Arve_Giffre"	-1.04	2001	7	3	46.0269	6.7762
8210201	"Arve_Giffre"	0.71	2002	12	4	46.0269	6.7762
8210201	"Arve_Giffre"	0.1	2003	15	5	46.0269	6.7762
8210201	"Arve_Giffre"	-0.09	2004	5	2	46.0269	6.7762
8210201	"Arve_Giffre"	0.46	2005	14	5	46.0269	6.7762
8210201	"Arve_Giffre"	-0.93	2006	6	3	46.0269	6.7762
8210202	"Arve_Giffre"	1.25	2007	9	4	45.9836	6.726
8210303	"Bornes_Aravis"	0.79	1997	5	1	45.9608	6.3165
8210303	"Bornes_Aravis"	0.03	1998	4	1	45.9608	6.3165
8210303	"Bornes_Aravis"	0.68	1999	1	1	45.9608	6.3165
8210303	"Bornes_Aravis"	1.73	2000	3	1	45.9608	6.3165
8210303	"Bornes_Aravis"	-1.04	2001	6	2	45.9608	6.3165
8210303	"Bornes_Aravis"	0.71	2002	8	4	45.9608	6.3165
8210303	"Bornes_Aravis"	0.1	2003	8	3	45.9608	6.3165
8210303	"Bornes_Aravis"	-0.09	2004	3	1	45.9608	6.3165
8210303	"Bornes_Aravis"	0.46	2005	12	4	45.9608	6.3165
8210303	"Bornes_Aravis"	-0.93	2006	7	2	45.9608	6.3165
8210304	"Bornes_Aravis"	0.62	1991	27	13	45.9267	6.5312
8210304	"Bornes_Aravis"	1.95	1992	29	7	45.9267	6.5312
8210304	"Bornes_Aravis"	1.92	1993	31	8	45.9267	6.5312
8210304	"Bornes_Aravis"	0.87	1994	23	14	45.9267	6.5312
8210304	"Bornes_Aravis"	1.37	1995	34	15	45.9267	6.5312
8210304	"Bornes_Aravis"	-1.46	1996	29	14	45.9267	6.5312
8210304	"Bornes_Aravis"	0.79	1997	24	11	45.9267	6.5312
8210304	"Bornes_Aravis"	0.03	1998	17	11	45.9267	6.5312
8210304	"Bornes_Aravis"	0.68	1999	28	20	45.9267	6.5312
8210304	"Bornes_Aravis"	1.73	2000	28	17	45.9267	6.5312
8210304	"Bornes_Aravis"	-1.04	2001	27	9	45.9267	6.5312
8210304	"Bornes_Aravis"	0.71	2002	29	13	45.9267	6.5312
8210304	"Bornes_Aravis"	0.1	2003	25	15	45.9267	6.5312
8210304	"Bornes_Aravis"	-0.09	2004	31	12	45.9267	6.5312
8210304	"Bornes_Aravis"	0.46	2005	28	16	45.9267	6.5312
8210304	"Bornes_Aravis"	-0.93	2006	39	15	45.9267	6.5312
8210304	"Bornes_Aravis"	1.25	2007	32	10	45.9267	6.5312
8210305	"Bornes_Aravis"	0.03	1998	5	0	45.8378	6.4258
8210305	"Bornes_Aravis"	0.68	1999	7	2	45.8378	6.4258
8210305	"Bornes_Aravis"	1.73	2000	6	2	45.8378	6.4258
8210305	"Bornes_Aravis"	-1.04	2001	5	2	45.8378	6.4258
8210305	"Bornes_Aravis"	0.71	2002	6	1	45.8378	6.4258
8210305	"Bornes_Aravis"	0.1	2003	3	2	45.8378	6.4258
8210305	"Bornes_Aravis"	-0.09	2004	7	2	45.8378	6.4258
8210305	"Bornes_Aravis"	0.46	2005	6	2	45.8378	6.4258
8210305	"Bornes_Aravis"	-0.93	2006	4	1	45.8378	6.4258
8210305	"Bornes_Aravis"	1.25	2007	1	1	45.8378	6.4258
8210404	"Bauges"	2.1	1990	24	10	45.6677	6.2265
8210404	"Bauges"	0.62	1991	25	13	45.6677	6.2265
8210404	"Bauges"	1.95	1992	30	9	45.6677	6.2265
8210404	"Bauges"	1.92	1993	21	5	45.6677	6.2265
8210404	"Bauges"	0.87	1994	23	11	45.6677	6.2265
8210404	"Bauges"	1.37	1995	24	12	45.6677	6.2265
8210404	"Bauges"	-1.46	1996	17	2	45.6677	6.2265
8210404	"Bauges"	0.79	1997	15	4	45.6677	6.2265
8210404	"Bauges"	0.03	1998	11	5	45.6677	6.2265
8210404	"Bauges"	0.68	1999	14	5	45.6677	6.2265
8210404	"Bauges"	1.73	2000	21	7	45.6677	6.2265
8210404	"Bauges"	-1.04	2001	21	5	45.6677	6.2265
8210404	"Bauges"	0.71	2002	14	5	45.6677	6.2265
8210404	"Bauges"	0.1	2003	13	6	45.6677	6.2265
8210404	"Bauges"	-0.09	2004	17	4	45.6677	6.2265
8210404	"Bauges"	0.46	2005	15	4	45.6677	6.2265
8210404	"Bauges"	-0.93	2006	17	3	45.6677	6.2265
8210404	"Bauges"	1.25	2007	16	3	45.6677	6.2265
8210508	"Chartreuse"	-1.46	1996	24	7	45.3777	5.8877
8210508	"Chartreuse"	0.79	1997	30	15	45.3777	5.8877
8210508	"Chartreuse"	0.03	1998	21	14	45.3777	5.8877
8210508	"Chartreuse"	0.68	1999	20	11	45.3777	5.8877
8210508	"Chartreuse"	1.73	2000	30	16	45.3777	5.8877
8210508	"Chartreuse"	-1.04	2001	28	13	45.3777	5.8877
8210508	"Chartreuse"	0.71	2002	25	17	45.3777	5.8877
8210508	"Chartreuse"	0.1	2003	26	21	45.3777	5.8877
8210508	"Chartreuse"	-0.09	2004	22	16	45.3777	5.8877
8210508	"Chartreuse"	0.46	2005	22	8	45.3777	5.8877
8210508	"Chartreuse"	-0.93	2006	23	14	45.3777	5.8877
8210508	"Chartreuse"	1.25	2007	12	6	45.3777	5.8877
8210510	"Chartreuse"	2.1	1990	4	3	45.3254	5.7111
8210510	"Chartreuse"	0.62	1991	5	5	45.3254	5.7111
8210510	"Chartreuse"	1.95	1992	5	2	45.3254	5.7111
8210510	"Chartreuse"	1.92	1993	4	1	45.3254	5.7111
8210510	"Chartreuse"	0.87	1994	6	4	45.3254	5.7111
8210510	"Chartreuse"	1.37	1995	8	4	45.3254	5.7111
8210510	"Chartreuse"	-1.46	1996	5	1	45.3254	5.7111
8210510	"Chartreuse"	0.79	1997	5	4	45.3254	5.7111
8210510	"Chartreuse"	0.03	1998	7	5	45.3254	5.7111
8210510	"Chartreuse"	0.68	1999	8	4	45.3254	5.7111
8210510	"Chartreuse"	1.73	2000	5	4	45.3254	5.7111
8210510	"Chartreuse"	-1.04	2001	3	2	45.3254	5.7111
8210510	"Chartreuse"	0.71	2002	4	2	45.3254	5.7111
8210604	"Vercors_Monts_du_Matin"	0.03	1998	24	14	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	0.68	1999	21	11	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	1.73	2000	26	19	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	-1.04	2001	20	17	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	0.71	2002	33	24	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	0.1	2003	23	15	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	-0.09	2004	16	12	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	0.46	2005	22	14	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	-0.93	2006	23	16	45.0409	5.5673
8210604	"Vercors_Monts_du_Matin"	1.25	2007	8	7	45.0409	5.5673
8210615	"Vercors_Monts_du_Matin"	2.1	1990	13	4	44.8427	5.4994
8210615	"Vercors_Monts_du_Matin"	0.62	1991	8	5	44.8427	5.4994
8210615	"Vercors_Monts_du_Matin"	1.95	1992	12	8	44.8427	5.4994
8210615	"Vercors_Monts_du_Matin"	1.92	1993	15	7	44.8427	5.4994
