"";"Weight_g";"Movement";"Diet";"Nest_location";"Clutch_size";"Brood_number";"Social"
"BCT";90;"local";"verteb";"opground";2;1;"greg"
"BEL";30;"sedent";"nectar";"optree";3;2;"terri"
"BLA";90;"sedent";"invert";"optree";3;3;"terri"
"BRO";11;"sedent";"invert";"optree";3;2;"terri"
"CAN";5000;"local";"seed";"opground";5;1;"terri"
"CHA";21;"local";"seed";"optree";4;2;"terri"
"DOT";60;"local";"invert";"opground";3;2;"terri"
"DUN";21;"sedent";"seed";"opground";4;2;"terri"
"FAL";640;"local";"verteb";"cavity";3;2;"terri"
"FAN";8;"sedent";"invert";"optree";3;3;"terri"
"GOL";15;"local";"seed";"optree";4;2;"nonterri"
"GRE";28;"local";"seed";"optree";5;2;"nonterri"
"GRW";6,5;"sedent";"invert";"optree";3;2;"terri"
"GUL";950;"local";"omniv";"opground";3;1;"greg"
"HAR";850;"local";"verteb";"opground";4;2;"terri"
"HOU";30;"sedent";"seed";"cavity";4;3;"nonterri"
"KAK";540;"sedent";"seed";"cavitytree";4;2;"nonterri"
"KEA";900;"local";"seed";"cavity";4;2;"greg"
"KIN";65;"local";"verteb";"cavity";5;3;"terri"
"LGO";180;"sedent";"verteb";"cavity";4;2;"terri"
"LON";125;"local";"invert";"optree";1;1;"greg"
"MAG";350;"sedent";"omniv";"optree";3;1;"terri"
"MAL";1200;"sedent";"seed";"opground";13;2;"nonterri"
"MOR";175;"sedent";"invert";"cavity";2;1;"terri"
"OYS";550;"local";"invert";"opground";2;1;"terri"
"PHE";1200;"sedent";"seed";"opground";9;5;"terri"
"PIG";650;"local";"fruit";"optree";1;2;"greg"
"PIP";40;"local";"invert";"opground";3;2;"terri"
"PLO";360;"local";"invert";"opground";4;2;"terri"
"PUK";850;"sedent";"omniv";"opground";5;3;"greg"
"QUA";180;"sedent";"seed";"opground";13;2;"greg"
"RCP";75;"sedent";"seed";"cavitytree";7;1;"greg"
"RED";12;"local";"seed";"optree";4;2;"greg"
"RIF";7;"sedent";"invert";"cavitytree";4;2;"terri"
"ROB";35;"sedent";"invert";"optree";3;4;"terri"
"ROC";400;"sedent";"seed";"opground";2;3;"greg"
"SHE";1400;"local";"seed";"opground";9;1;"terri"
"SHI";25;"local";"invert";"optree";1;1;"terri"
"SIL";13;"local";"invert";"optree";3;2;"terri"
"SKY";38;"sedent";"seed";"opground";3;2;"terri"
"SON";70;"sedent";"invert";"optree";3;2;"terri"
"STA";85;"local";"omniv";"cavity";4;2;"nonterri"
"SUL";900;"local";"seed";"cavity";2;1;"greg"
"SWA";14;"local";"invert";"cavity";4;3;"nonterri"
"TOM";11;"sedent";"invert";"cavitytree";4;3;"terri"
"WFH";550;"local";"verteb";"optree";4;1;"nonterri"
"YCP";45;"local";"seed";"cavity";6;4;"greg"
"YEL";27;"local";"seed";"opground";4;2;"terri"
