"Secteur"	"Quadrat"	"hveg"	"time.period"	"richesse"
"secteur1_vallee_Bazinghen"	"I1Q1"	40	"fin_90"	20
"secteur1_vallee_Bazinghen"	"I1Q2"	30	"fin_90"	25
"secteur1_vallee_Bazinghen"	"I2Q1"	90	"fin_90"	18
"secteur1_vallee_Bazinghen"	"I2Q3"	80	"fin_90"	10
"secteur1_vallee_Bazinghen"	"I3Q2"	40	"fin_90"	9
"secteur1_vallee_Bazinghen"	"I3Q3"	60	"fin_90"	11
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	60	"fin_90"	13
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	NA	"fin_90"	NA
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	NA	"fin_90"	NA
"secteur3_aval_vallee_Slack"	"I5Q2"	60	"fin_90"	23
"secteur3_aval_vallee_Slack"	"I7Q1"	40	"fin_90"	11
"secteur3_aval_vallee_Slack"	"I7Q3"	NA	"fin_90"	NA
"secteur1_vallee_Bazinghen"	"I8Q1"	NA	"fin_90"	NA
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	NA	"fin_90"	NA
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	NA	"fin_90"	NA
"secteur1_vallee_Bazinghen"	"I1Q1"	40	"fin_90"	25
"secteur1_vallee_Bazinghen"	"I1Q2"	50	"fin_90"	20
"secteur1_vallee_Bazinghen"	"I2Q1"	80	"fin_90"	18
"secteur1_vallee_Bazinghen"	"I2Q3"	75	"fin_90"	9
"secteur1_vallee_Bazinghen"	"I3Q2"	40	"fin_90"	13
"secteur1_vallee_Bazinghen"	"I3Q3"	80	"fin_90"	10
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	80	"fin_90"	18
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	NA	"fin_90"	NA
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	NA	"fin_90"	NA
"secteur3_aval_vallee_Slack"	"I5Q2"	40	"fin_90"	22
"secteur3_aval_vallee_Slack"	"I7Q1"	40	"fin_90"	10
"secteur3_aval_vallee_Slack"	"I7Q3"	NA	"fin_90"	NA
"secteur1_vallee_Bazinghen"	"I8Q1"	NA	"fin_90"	NA
